Name,Name + ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Position
Garrett Greene,Garrett Greene (40058882),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,0,WR
Dennis Houston,Dennis Houston (40058884),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,TB,0,WR
Arian Smith,Arian Smith (40058886),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0.4,WR
Isaiah Williams,Isaiah Williams (40058888),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0,WR
Irvin Charles,Irvin Charles (40058890),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0,WR
Quentin Skinner,Quentin Skinner (40058892),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0,WR
Jamaal Pritchett,Jamaal Pritchett (40058894),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0,WR
Brandon Smith,Brandon Smith (40058896),WR/FLEX,3000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,0,WR
Van Jefferson,Van Jefferson (40058728),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,1.5,WR
Ashton Dulin,Ashton Dulin (40058850),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0.75,WR
Anthony Gould,Anthony Gould (40058852),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0,WR
D.J. Montgomery,D.J. Montgomery (40058854),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0,WR
Coleman Owen,Coleman Owen (40058856),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0,WR
Laquon Treadwell,Laquon Treadwell (40058858),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0,WR
Tyler Scott,Tyler Scott (40058860),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,IND,0,WR
Chimere Dike,Chimere Dike (40058862),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,1.85,WR
Bryce Oliver,Bryce Oliver (40058864),WR/FLEX,3000,IND@TEN 09/21/2025 01:00PM ET,TEN,0.9,WR
