Name,Name + ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Position
Devin Neal,Devin Neal (40058404),RB/FLEX,4000,NO@SEA 09/21/2025 04:05PM ET,NO,0.9,RB
Velus Jones Jr.,Velus Jones Jr. (40058406),RB/FLEX,4000,NO@SEA 09/21/2025 04:05PM ET,NO,0,RB
Kendre Miller,Kendre Miller (40058532),RB/FLEX,4000,NO@SEA 09/21/2025 04:05PM ET,NO,2.2,RB
Tyson Bagent,Tyson Bagent (40058197),QB,4000,DAL@CHI 09/21/2025 04:25PM ET,CHI,1.78,QB
Joe Milton III,Joe Milton III (40058202),QB,4000,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,QB
Will Grier,Will Grier (40058203),QB,4000,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,QB
Case Keenum,Case Keenum (40058204),QB,4000,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,QB
Roschon Johnson,Roschon Johnson (40058362),RB/FLEX,4000,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,RB
Phil Mafah,Phil Mafah (40058380),RB/FLEX,4000,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,RB
Hunter Luepke,Hunter Luepke (40058382),RB/FLEX,4000,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,RB
Malik Davis,Malik Davis (40058384),RB/FLEX,4000,DAL@CHI 09/21/2025 04:25PM ET,DAL,0,RB
Travis Homer,Travis Homer (40058386),RB/FLEX,4000,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,RB
Deion Hankins,Deion Hankins (40058388),RB/FLEX,4000,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,RB
Brittain Brown,Brittain Brown (40058390),RB/FLEX,4000,DAL@CHI 09/21/2025 04:25PM ET,CHI,0,RB
Jake Ferguson,Jake Ferguson (40059032),TE/FLEX,4000,DAL@CHI 09/21/2025 04:25PM ET,DAL,12.05,TE
Adrian Martinez,Adrian Martinez (40058198),QB,4000,ARI@SF 09/21/2025 04:25PM ET,SF,0,QB
Kurtis Rourke,Kurtis Rourke (40058199),QB,4000,ARI@SF 09/21/2025 04:25PM ET,SF,0,QB
Jacoby Brissett,Jacoby Brissett (40058200),QB,4000,ARI@SF 09/21/2025 04:25PM ET,ARI,0.2,QB
Kedon Slovis,Kedon Slovis (40058201),QB,4000,ARI@SF 09/21/2025 04:25PM ET,ARI,0,QB
Isaac Guerendo,Isaac Guerendo (40058364),RB/FLEX,4000,ARI@SF 09/21/2025 04:25PM ET,SF,0,RB
Jordan James,Jordan James (40058366),RB/FLEX,4000,ARI@SF 09/21/2025 04:25PM ET,SF,0,RB
Patrick Taylor Jr.,Patrick Taylor Jr. (40058368),RB/FLEX,4000,ARI@SF 09/21/2025 04:25PM ET,SF,0,RB
Sincere McCormick,Sincere McCormick (40058370),RB/FLEX,4000,ARI@SF 09/21/2025 04:25PM ET,SF,0,RB
Kyle Juszczyk,Kyle Juszczyk (40058372),RB/FLEX,4000,ARI@SF 09/21/2025 04:25PM ET,SF,3.35,RB
Emari Demercado,Emari Demercado (40058374),RB/FLEX,4000,ARI@SF 09/21/2025 04:25PM ET,ARI,0,RB
Zonovan Knight,Zonovan Knight (40058376),RB/FLEX,4000,ARI@SF 09/21/2025 04:25PM ET,ARI,0,RB
Michael Carter,Michael Carter (40058378),RB/FLEX,4000,ARI@SF 09/21/2025 04:25PM ET,ARI,0,RB
Ray-Ray McCloud III,Ray-Ray McCloud III (40058646),WR/FLEX,3900,ATL@CAR 09/21/2025 01:00PM ET,ATL,4.05,WR
Kyle Pitts Sr.,Kyle Pitts Sr. (40059036),TE/FLEX,3900,ATL@CAR 09/21/2025 01:00PM ET,ATL,10.3,TE
Jack Bech,Jack Bech (40058648),WR/FLEX,3900,LV@WAS 09/21/2025 01:00PM ET,LV,1.65,WR
Juwan Johnson,Juwan Johnson (40059034),TE/FLEX,3900,NO@SEA 09/21/2025 04:05PM ET,NO,15.75,TE
KaVontae Turpin,KaVontae Turpin (40058644),WR/FLEX,3900,DAL@CHI 09/21/2025 04:25PM ET,DAL,10,WR
Jalen Nailor,Jalen Nailor (40058652),WR/FLEX,3800,CIN@MIN 09/21/2025 01:00PM ET,MIN,4.95,WR
T.J. Hockenson,T.J. Hockenson (40059038),TE/FLEX,3800,CIN@MIN 09/21/2025 01:00PM ET,MIN,3.35,TE
Hunter Henry,Hunter Henry (40059040),TE/FLEX,3800,PIT@NE 09/21/2025 01:00PM ET,NE,6.25,TE
Marvin Mims Jr.,Marvin Mims Jr. (40058650),WR/FLEX,3800,DEN@LAC 09/21/2025 04:05PM ET,DEN,6.8,WR
Brandin Cooks,Brandin Cooks (40058654),WR/FLEX,3800,NO@SEA 09/21/2025 04:05PM ET,NO,5.1,WR
