RK,NAME,TEAM,POS,GMS,YDS,TD,INT,YDS,TD,REC,YDS,TD,FPTS/G,FPTS,,Fantasy Points,,,,Top Fantasy Leaders
55,A.J. Brown,PHI,WR,13,0,0,0,0,0,67,1079,7,17.8,231.9,,,A.J. Brown,,,
56,Matthew Stafford,LAR,QB,16,3762,20,8,41,0,0,0,0,14.4,230.6,,,Matthew Stafford,,,
57,Jonnu Smith,MIA,TE,17,0,0,0,-1,0,88,884,8,13.5,229.3,,,Jonnu Smith,,,
58,Tee Higgins,CIN,WR,12,0,0,0,0,0,73,911,10,19.1,229.1,,,Tee Higgins,,,
59,Tyreek Hill,MIA,WR,17,0,0,0,53,0,81,959,6,13.4,227.2,,,Tyreek Hill,,,
60,Jakobi Meyers,LV,WR,15,0,0,0,23,0,87,1027,4,15.1,227,,,Jakobi Meyers,,,
61,David Montgomery,DET,RB,14,3,1,0,775,12,36,341,0,16.1,225.7,,,David Montgomery,,,
62,Zay Flowers,BAL,WR,17,0,0,0,56,0,74,1059,4,13.2,224.5,,,Zay Flowers,,,
63,Nico Collins,HOU,WR,12,0,0,0,0,0,68,1006,7,18.6,222.6,,,Nico Collins,,,
64,Puka Nacua,LAR,WR,11,0,0,0,46,1,79,990,3,20.1,221.6,,,Puka Nacua,,,
65,Jameson Williams,DET,WR,15,0,0,0,61,1,58,1001,7,14.7,221.2,,,Jameson Williams,,,
66,Jordan Addison,MIN,WR,15,0,0,0,20,1,63,875,9,14.6,218.5,,,Jordan Addison,,,
67,D'Andre Swift,CHI,RB,17,0,0,0,959,6,42,386,0,12.8,217.5,,,D'Andre Swift,,,
68,Najee Harris,PIT,RB,17,0,0,0,1043,6,36,283,0,12.6,213.6,,,Najee Harris,,,
69,Jauan Jennings,SF,WR,15,0,0,0,0,0,77,975,6,14.2,213.5,,,Jauan Jennings,,,
70,Rico Dowdle,DAL,RB,16,0,0,0,1079,2,39,249,3,13.2,211.8,,,Rico Dowdle,,,
71,Tony Pollard,TEN,RB,16,0,0,0,1079,5,41,238,0,13.2,211.7,,,Tony Pollard,,,
72,Jayden Reed,GB,WR,17,0,0,0,163,1,55,857,6,12.2,207,,,Jayden Reed,,,
73,Bryce Young,CAR,QB,14,2403,15,9,249,6,0,0,0,14.7,206,,,Bryce Young,,,
74,DeVonta Smith,PHI,WR,13,0,0,0,1,0,68,833,8,15.8,205.4,,,DeVonta Smith,,,
75,Marvin Harrison Jr.,ARI,WR,17,0,0,0,0,0,62,885,8,12,203.5,,,Marvin Harrison Jr.,,,
76,Kirk Cousins,ATL,QB,14,3508,18,16,0,0,0,0,0,14.5,203.3,,,Kirk Cousins,,,
77,Calvin Ridley,TEN,WR,17,0,0,0,55,1,64,1017,4,12,203.2,,,Calvin Ridley,,,
78,Rachaad White,TB,RB,16,0,0,0,613,3,51,393,6,12.7,202.6,,,Rachaad White,,,
