Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps,,Snap Count site,
Johnny Wilson,WR,PHI,16,369,23,34,0,4,1,4,14.8,4,,,
Brevin Jordan,TE,HOU,2,67,34,48,0,4,3,4,2.7,4,,,
Patrick Ricard,RB,BAL,17,435,26,39,0,1,1,1,17.2,4,,,
Davis Allen,TE,LAR,14,309,22,34,0,4,2,4,9.9,3.2,,,
John Bates,TE,WAS,17,516,30,44,0,3,2,3,14.4,2.8,,,
Geoff Swaim,TE,CLE,3,62,21,30,0,2,2,2,1.7,2.7,,,
Charlie Woerner,TE,ATL,16,457,29,42,0,3,2,3,11.6,2.5,,,
Tip Reiman,TE,ARI,17,450,26,41,0,2,1,2,9.7,2.2,,,
Jack Stoll,TE,PHI,5,145,29,43,0,2,1,2,3,2.1,,,
Sam Howell,QB,SEA,1,24,24,41,4,0,63,63,0.2,0.8,,,
C.J. Uzomah,TE,PHI,2,44,22,33,0,0,0,0,0,0,,,
Xavier Weaver,WR,ARI,2,57,29,46,0,4,0,4,0,0,,,
