#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,K%,BB%,K-BB%,AVG,WHIP,LOB%,ERA-,FIP-,xFIP-,E-F,xFIP,SIERA,Barrels,Barrel%,H,HR,EV,HBP
23,Gavin Williams,CLE,9,2,0,12,12,76.2,10.21,2.23,1.17,0.277,0.809,0.461,0.152,96.6,3.05,4.36,3.36,2.9,1.6,0.288,0.063,0.225,0.217,1.04,0.809,74,82,70,-0.31,2.9,3.03,23,0.119,61,10,89.5,1
24,George Kirby,SEA,4,5,0,12,12,72,7.25,2,0.75,0.336,0.677,0.531,0.09,96.9,4.25,3.54,3.29,3.54,1.5,0.193,0.053,0.14,0.282,1.33,0.677,109,82,85,0.96,3.54,3.74,12,0.053,80,6,87.9,4
25,J.T. Ginn,ATH,3,3,0,13,11,62,8.42,3.77,1.02,0.232,0.807,0.469,0.127,94.5,2.9,3.95,4.16,3.96,0.8,0.232,0.104,0.128,0.195,1.11,0.807,68,98,95,-1.26,3.96,4.11,11,0.068,43,7,89.9,5
26,Jack Leiter,TEX,3,4,0,12,12,66.1,10.04,3.8,1.22,0.297,0.743,0.394,0.132,97.1,4.34,4.5,4.09,3.8,0.9,0.258,0.098,0.16,0.235,1.33,0.743,106,98,91,0.25,3.8,3.83,20,0.11,60,9,88,4
27,Jacob deGrom,TEX,4,4,0,12,12,64.2,10.86,1.81,1.81,0.252,0.855,0.293,0.155,97.4,3.48,3.8,3.91,3.17,1.1,0.301,0.05,0.251,0.211,1.01,0.855,85,93,76,-0.43,3.17,3,19,0.113,52,13,91.2,0
28,Jacob Misiorowski,MIL,5,2,0,11,11,66,13.23,2.18,0.41,0.244,0.814,0.444,0.07,100.1,1.64,2.16,1.76,2.11,2.9,0.383,0.063,0.32,0.152,0.77,0.814,40,43,51,-0.13,2.11,2.17,3,0.022,35,3,87.3,6
29,Jameson Taillon,CHC,2,5,0,12,12,66.2,7.7,2.84,2.7,0.239,0.81,0.347,0.198,91.9,5.13,5.23,6.33,4.61,-0.7,0.204,0.075,0.129,0.245,1.26,0.81,127,156,112,-1.2,4.61,4.36,29,0.145,63,20,88.2,2
30,Jeffrey Springs,ATH,3,6,0,12,12,64.2,8.07,2.51,1.95,0.26,0.733,0.347,0.159,91.6,4.45,4,5.06,4.2,0.3,0.212,0.066,0.147,0.241,1.22,0.733,104,120,101,-0.6,4.2,4.08,20,0.103,61,14,88.2,2
31,Jes�s Luzardo,PHI,4,3,0,12,12,67,9.81,2.69,0.81,0.35,0.716,0.476,0.113,97.4,4.16,3.54,3.21,3.19,1.6,0.254,0.07,0.185,0.267,1.34,0.716,100,77,77,0.95,3.19,3.39,12,0.063,70,6,86.1,5
32,Joe Ryan,MIN,4,3,0,12,12,65,9.97,1.66,0.83,0.28,0.649,0.378,0.077,93.6,3.46,3.23,2.88,3.4,1.9,0.274,0.046,0.228,0.215,1,0.649,83,69,82,0.58,3.4,3.12,19,0.109,53,6,89.8,5
33,Jos� Soriano,LAA,5,4,0,12,12,70,10.03,4.37,0.9,0.268,0.821,0.5,0.115,97.7,2.96,4.26,3.77,3.72,1.2,0.269,0.117,0.152,0.206,1.23,0.821,70,89,89,-0.81,3.72,3.89,17,0.097,52,7,88.5,3
34,Justin Wrobleski,LAD,7,2,0,11,10,68.2,5.77,1.83,0.52,0.243,0.78,0.377,0.044,94.1,2.62,3.86,3.28,4.41,1.7,0.161,0.051,0.109,0.213,1,0.78,64,77,107,-0.66,4.41,4.49,15,0.07,55,4,89.9,2
35,Keider Montero,DET,2,3,0,11,11,61,6.34,2.21,1.03,0.222,0.69,0.348,0.074,94.5,3.69,3.44,3.98,4.72,1.1,0.178,0.062,0.116,0.204,1,0.69,88,95,113,-0.29,4.72,4.59,16,0.087,46,7,90.2,1
36,Kevin Gausman,TOR,4,4,0,12,12,69,8.22,1.83,0.78,0.302,0.72,0.39,0.071,94,3.52,3.48,3.07,3.7,1.8,0.22,0.049,0.171,0.247,1.17,0.72,85,73,89,0.46,3.7,3.73,14,0.067,67,6,87.8,1
37,Kumar Rocker,TEX,2,5,0,12,11,61,7.23,3.84,0.89,0.274,0.791,0.478,0.091,94.6,3.54,4.57,4.16,4.43,0.8,0.187,0.099,0.088,0.235,1.33,0.791,86,99,106,-0.62,4.43,4.54,15,0.081,55,6,89.6,2
38,Kyle Leahy,STL,5,3,0,12,12,59,7.17,3.66,1.22,0.328,0.793,0.438,0.14,94,4.42,6.55,4.7,4.33,0.2,0.175,0.089,0.086,0.286,1.58,0.793,110,116,105,-0.28,4.33,4.57,21,0.108,69,8,88.5,1
