Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
128430-85476:Jeffrey Springs,128430-85476,P,Jeffrey,Jeffrey Springs,Springs,16,1,7900,HOU@ATH,ATH,HOU,,,,Yes,,P
128430-222822:Brandon Sproat,128430-222822,P,Brandon,Brandon Sproat,Sproat,-3,1,7800,MIL@KC,MIL,KC,,,,,,P
128430-119409:Quinn Priester,128430-119409,P,Quinn,Quinn Priester,Priester,26.32258065,31,7800,MIL@KC,MIL,KC,IL,Wrist,,,,P
128430-53029:Robbie Ray,128430-53029,P,Robbie,Robbie Ray,Ray,29.5,2,7800,NYM@SF,SF,NYM,,,,,,P
128430-52159:Lance McCullers Jr.,128430-52159,P,Lance,Lance McCullers Jr.,McCullers Jr.,55,1,7800,HOU@ATH,HOU,ATH,,,,,,P
128430-198915:Luis Morales,128430-198915,P,Luis,Luis Morales,Morales,13,1,7700,HOU@ATH,ATH,HOU,,,,,,P
128430-165689:Bryce Miller,128430-165689,P,Bryce,Bryce Miller,Miller,19.9047619,21,7700,SEA@LAA,SEA,LAA,IL,Oblique,,,,P
128430-102335:Cristian Javier,128430-102335,P,Cristian,Cristian Javier,Javier,-1,1,7700,HOU@ATH,HOU,ATH,,,,Yes,,P
128430-52142:Eduardo Rodriguez,128430-52142,P,Eduardo,Eduardo Rodriguez,Rodriguez,30,1,7600,ATL@ARI,ARI,ATL,,,,Yes,,P
128430-97300:John Means,128430-97300,P,John,John Means,Means,,0,7500,MIL@KC,KC,MIL,O,Achilles,,,,P
128430-135229:Reid Detmers,128430-135229,P,Reid,Reid Detmers,Detmers,32,1,7500,SEA@LAA,LAA,SEA,,,,Yes,,P
128430-164509:AJ Smith-Shawver,128430-164509,P,AJ,AJ Smith-Shawver,Smith-Shawver,25.33333333,9,7500,ATL@ARI,ATL,ARI,IL,Elbow,,,,P
128430-198362:Stephen Kolek,128430-198362,P,Stephen,Stephen Kolek,Kolek,26.47368421,19,7500,MIL@KC,KC,MIL,IL,Oblique,,,,P
128430-11328:Martin Perez,128430-11328,P,Martin,Martin Perez,Perez,22,1,7400,ATL@ARI,ATL,ARI,,,,,,P
128430-198885:Spencer Arrighetti,128430-198885,P,Spencer,Spencer Arrighetti,Arrighetti,21.42857143,7,7300,HOU@ATH,HOU,ATH,,,,,,P
128430-85251:Zac Gallen,128430-85251,P,Zac,Zac Gallen,Gallen,20,2,7300,ATL@ARI,ARI,ATL,,,,,,P
128430-219663:Chad Patrick,128430-219663,P,Chad,Chad Patrick,Patrick,22,1,7300,MIL@KC,MIL,KC,,,,Yes,,P
128430-164497:Ryne Nelson,128430-164497,P,Ryne,Ryne Nelson,Nelson,15.5,2,7300,ATL@ARI,ARI,ATL,,,,,,P
128430-102001:Yusei Kikuchi,128430-102001,P,Yusei,Yusei Kikuchi,Kikuchi,16,2,7200,SEA@LAA,LAA,SEA,,,,,,P
128430-119441:Alek Manoah,128430-119441,P,Alek,Alek Manoah,Manoah,,0,7200,SEA@LAA,LAA,SEA,IL,Finger,,,,P
128430-52165:Sean Manaea,128430-52165,P,Sean,Sean Manaea,Manaea,12,2,7200,NYM@SF,NYM,SF,,,,,,P
128430-79073:Michael Soroka,128430-79073,P,Michael,Michael Soroka,Soroka,51,1,7100,ATL@ARI,ARI,ATL,,,,,,P
128430-170527:Jason Alexander,128430-170527,P,Jason,Jason Alexander,Alexander,19.33333333,18,7100,HOU@ATH,HOU,ATH,,,,,,P
128430-219697:Noah Cameron,128430-219697,P,Noah,Noah Cameron,Cameron,33,1,7100,MIL@KC,KC,MIL,,,,,,P
128430-154714:Tylor Megill,128430-154714,P,Tylor,Tylor Megill,Megill,29.71428571,14,7000,NYM@SF,NYM,SF,IL,Elbow,,,,P
128430-60644:Luis Severino,128430-60644,P,Luis,Luis Severino,Severino,18.5,2,7000,HOU@ATH,ATH,HOU,,,,,,P
128430-146733:Kyle Harrison,128430-146733,P,Kyle,Kyle Harrison,Harrison,36,1,7000,MIL@KC,MIL,KC,,,,,,P
128430-165636:Hayden Wesneski,128430-165636,P,Hayden,Hayden Wesneski,Wesneski,24.83333333,6,7000,HOU@ATH,HOU,ATH,IL,Elbow,,,,P
128430-135268:Emerson Hancock,128430-135268,P,Emerson,Emerson Hancock,Hancock,55,1,6800,SEA@LAA,SEA,LAA,,,,,,P
128430-165573:Alec Marsh,128430-165573,P,Alec,Alec Marsh,Marsh,,0,6800,MIL@KC,KC,MIL,IL,Shoulder,,,,P
128430-165659:Mike Burrows,128430-165659,P,Mike,Mike Burrows,Burrows,26.5,2,6700,HOU@ATH,HOU,ATH,,,,,,P
128430-165715:Gunnar Hoglund,128430-165715,P,Gunnar,Gunnar Hoglund,Hoglund,17.83333333,6,6700,HOU@ATH,ATH,HOU,IL,Back,,,,P
128430-66766:Adrian Houser,128430-66766,P,Adrian,Adrian Houser,Houser,25,1,6600,NYM@SF,SF,NYM,,,,,,P
128430-203678:Hayden Birdsong,128430-203678,P,Hayden,Hayden Birdsong,Birdsong,16.2,21,6600,NYM@SF,SF,NYM,IL,Elbow,,,,P
128430-226322:Logan Evans,128430-226322,P,Logan,Logan Evans,Evans,20.8125,16,6500,SEA@LAA,SEA,LAA,IL,Elbow,,,,P
128430-145625:Bailey Falter,128430-145625,P,Bailey,Bailey Falter,Falter,3.5,2,6500,MIL@KC,KC,MIL,,,,,,P
128430-146705:J.T. Ginn,128430-146705,P,J.T.,J.T. Ginn,Ginn,17,1,6500,HOU@ATH,ATH,HOU,,,,,,P
128430-219662:Colton Gordon,128430-219662,P,Colton,Colton Gordon,Gordon,18.05,20,6500,HOU@ATH,HOU,ATH,,,,,,P
128430-222819:Jonah Tong,128430-222819,P,Jonah,Jonah Tong,Tong,17.2,5,6500,NYM@SF,NYM,SF,,,,,,P
128430-163703:Ryan Weiss,128430-163703,P,Ryan,Ryan Weiss,Weiss,10.5,2,6500,HOU@ATH,HOU,ATH,,,,,,P
128430-119355:Jack Kochanowicz,128430-119355,P,Jack,Jack Kochanowicz,Kochanowicz,6,1,6400,SEA@LAA,LAA,SEA,,,,,,P
128430-232673:Mitch Farris,128430-232673,P,Mitch,Mitch Farris,Farris,20.2,5,6300,SEA@LAA,LAA,SEA,,,,,,P
128430-197899:Kai-Wei Teng,128430-197899,P,Kai-Wei,Kai-Wei Teng,Teng,11,2,6300,HOU@ATH,HOU,ATH,,,,,,P
128430-198938:Carson Whisenhunt,128430-198938,P,Carson,Carson Whisenhunt,Whisenhunt,18.2,5,6300,NYM@SF,SF,NYM,,,,,,P
128430-6266:Carlos Carrasco,128430-6266,P,Carlos,Carlos Carrasco,Carrasco,13.36363636,11,6200,ATL@ARI,ATL,ARI,,,,,,P
128430-198891:Caden Dana,128430-198891,P,Caden,Caden Dana,Dana,18.71428571,7,6200,SEA@LAA,LAA,SEA,DTD,Illness,,,,P
128430-187769:Osvaldo Bido,128430-187769,P,Osvaldo,Osvaldo Bido,Bido,13.5,2,6200,ATL@ARI,ATL,ARI,,,,,,P
128430-181805:J.P. France,128430-181805,P,J.P.,J.P. France,France,15,2,6200,HOU@ATH,HOU,ATH,,,,,,P
128430-219724:Ryan Bergert,128430-219724,P,Ryan,Ryan Bergert,Bergert,19.52631579,19,6200,MIL@KC,KC,MIL,,,,,,P
128430-82636:Joey Lucchesi,128430-82636,P,Joey,Joey Lucchesi,Lucchesi,3,2,6200,SEA@LAA,LAA,SEA,,,,,,P
128430-211069:Sam Aldegheri,128430-211069,P,Sam,Sam Aldegheri,Aldegheri,10.25,4,6100,SEA@LAA,LAA,SEA,,,,,,P
128430-219569:Justin Hagenman,128430-219569,P,Justin,Justin Hagenman,Hagenman,11.55555556,9,6100,NYM@SF,NYM,SF,IL,Ribs,,,,P
128430-226810:Blade Tidwell,128430-226810,P,Blade,Blade Tidwell,Tidwell,15,1,6100,NYM@SF,SF,NYM,,,,,,P
128430-222881:Ryan Johnson,128430-222881,P,Ryan,Ryan Johnson,Johnson,-2,1,6100,SEA@LAA,LAA,SEA,,,,,,P
128430-228058:Didier Fuentes,128430-228058,P,Didier,Didier Fuentes,Fuentes,21,1,6100,ATL@ARI,ATL,ARI,,,,,,P
128430-204512:Yilber Diaz,128430-204512,P,Yilber,Yilber Diaz,Diaz,3,1,6100,ATL@ARI,ARI,ATL,,,,,,P
128430-228077:Jack Perkins,128430-228077,P,Jack,Jack Perkins,Perkins,16.25,12,6100,HOU@ATH,ATH,HOU,,,,,,P
128430-197877:Cristian Mena,128430-197877,P,Cristian,Cristian Mena,Mena,15.66666667,3,6000,ATL@ARI,ARI,ATL,IL,Shoulder,,,,P
128430-198904:Christian Scott,128430-198904,P,Christian,Christian Scott,Scott,,0,6000,NYM@SF,NYM,SF,,,,,,P
128430-197897:Trevor McDonald,128430-197897,P,Trevor,Trevor McDonald,McDonald,30.66666667,3,6000,NYM@SF,SF,NYM,,,,,,P
128430-119302:Blake Walston,128430-119302,P,Blake,Blake Walston,Walston,,0,6000,ATL@ARI,ARI,ATL,IL,Elbow,,,,P
128430-219706:Carson Seymour,128430-219706,P,Carson,Carson Seymour,Seymour,8.4375,16,6000,NYM@SF,SF,NYM,,,,,,P
128430-170174:Chase Silseth,128430-170174,P,Chase,Chase Silseth,Silseth,3.75,4,5900,SEA@LAA,LAA,SEA,,,,,,P
128430-60627:Touki Toussaint,128430-60627,P,Touki,Touki Toussaint,Toussaint,9,1,5900,SEA@LAA,LAA,SEA,,,,,,P
128430-79079:Joey Wentz,128430-79079,P,Joey,Joey Wentz,Wentz,11,39,5900,ATL@ARI,ATL,ARI,IL,Knee,,,,P
128430-238908:Miguel Ullola,128430-238908,P,Miguel,Miguel Ullola,Ullola,,0,5900,HOU@ATH,HOU,ATH,,,,,,P
128430-226643:AJ Blubaugh,128430-226643,P,AJ,AJ Blubaugh,Blubaugh,12.33333333,3,5900,HOU@ATH,HOU,ATH,,,,,,P
128430-161167:Glenn Otto,128430-161167,P,Glenn,Glenn Otto,Otto,,0,5900,HOU@ATH,HOU,ATH,DTD,Shoulder,,,,P
