Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
sami valimaki,0.0,0.0,0,0,0.0,0.0,3,0.0
sami valimaki,0.0,0.0,0,0,0.0,0.0,4,0.0
cam davis,-1.48,0.67,1.94,-1.83,0.78,-0.7,1,0.5
cam davis,-0.91,-2.51,-4.75,-0.66,-7.91,-8.82,2,0.2222
cam davis,0.0,0.0,0,0,0.0,0.0,3,0.0
cam davis,0.0,0.0,0,0,0.0,0.0,4,0.0
frankie capan iii,0.45,1.12,-1.46,-3.81,-4.15,-3.7,1,0.4545
frankie capan iii,0.08,0.68,-3.82,-2.76,-5.9,-5.82,2,0.4444
frankie capan iii,0.0,0.0,0,0,0.0,0.0,3,0.0
frankie capan iii,0.0,0.0,0,0,0.0,0.0,4,0.0
isaiah salinda,-3.27,-1.69,-1.52,0.78,-2.43,-5.7,1,0.3333
isaiah salinda,-1.43,-1.04,-1.48,-0.87,-3.39,-4.82,2,0.6
isaiah salinda,0.0,0.0,0,0,0.0,0.0,3,0.0
isaiah salinda,0.0,0.0,0,0,0.0,0.0,4,0.0
alejandro tosti,-1.66,-0.66,-4.71,1.32,-4.04,-5.7,1,0.2857
alejandro tosti,-2.41,-0.4,0.02,-4.03,-4.41,-6.82,2,0.1667
alejandro tosti,0.0,0.0,0,0,0.0,0.0,3,0.0
alejandro tosti,0.0,0.0,0,0,0.0,0.0,4,0.0
keita nakajima,-4.0,-1.99,2.88,1.41,2.3,-1.7,1,0.0
keita nakajima,0.0,0.0,0,0,0.0,0.0,2,0.0
keita nakajima,0.0,0.0,0,0,0.0,0.0,3,0.0
keita nakajima,0.0,0.0,0,0,0.0,0.0,4,0.0
