Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
jake peacock,0,0,0,0,0,0,4,0
graeme mcdowell,-1.35,0.23,2.14,-3.71,-1.34,-2.72,1,0
graeme mcdowell,-2.48,-1.56,0.45,-0.17,-1.27,-3.75,2,0
graeme mcdowell,0,0,0,0,0,0,3,0
graeme mcdowell,0,0,0,0,0,0,4,0
nick hardy,-1.91,-3.46,-1.09,0.76,-3.79,-5.72,1,0
nick hardy,3.22,-1.03,-3.01,0.07,-3.97,-0.75,2,0
nick hardy,0,0,0,0,0,0,3,0
nick hardy,0,0,0,0,0,0,4,0
matthew mccarty,1.61,-0.12,-0.4,0.21,-0.3,1.28,1,0
matthew mccarty,0.28,-3.44,-2.5,-2.08,-8.02,-7.75,2,0
matthew mccarty,0,0,0,0,0,0,3,0
matthew mccarty,0,0,0,0,0,0,4,0
plessis du,-5.15,-0.24,2.54,0.15,2.46,-2.72,1,0
plessis du,-3.38,0.33,-0.55,-0.15,-0.37,-3.75,2,0
plessis du,0,0,0,0,0,0,3,0
plessis du,0,0,0,0,0,0,4,0
vaughn harber,-2.29,-0.19,0.86,-0.07,0.6,-1.72,1,0
vaughn harber,-1.49,-1.98,-1.8,0.52,-3.26,-4.75,2,0
vaughn harber,0,0,0,0,0,0,3,0
vaughn harber,0,0,0,0,0,0,4,0
chase kyes,-1,1.92,-3.37,0.76,-0.69,-1.72,1,0
chase kyes,1.58,-1.92,-2.65,-1.77,-6.33,-4.75,2,0
chase kyes,0,0,0,0,0,0,3,0
chase kyes,0,0,0,0,0,0,4,0
jake sollon,-0.94,-2.48,-2.78,-2.49,-7.75,-8.72,1,0
jake sollon,-0.09,0.09,0.79,0.46,1.34,1.25,2,0
jake sollon,0,0,0,0,0,0,3,0
jake sollon,0,0,0,0,0,0,4,0
matti schmid,-4.62,-0.65,1.95,-0.38,0.93,-3.72,1,0
matti schmid,-0.18,-1.44,-1.39,-1.74,-4.56,-4.75,2,0
matti schmid,0,0,0,0,0,0,3,0
matti schmid,0,0,0,0,0,0,4,0
t.k. kim,-1.5,-1.57,-1.42,-1.19,-4.18,-5.72,1,0
t.k. kim,1.77,-1.39,-3.48,-1.65,-6.52,-4.75,2,0
t.k. kim,0,0,0,0,0,0,3,0
t.k. kim,0,0,0,0,0,0,4,0
matt robles,-1.31,-0.23,-0.82,-1.34,-2.38,-3.72,1,0
matt robles,-0.68,-1.22,-4.79,-0.06,-6.07,-6.75,2,0
matt robles,0,0,0,0,0,0,3,0
matt robles,0,0,0,0,0,0,4,0
taylor repetto,-5.32,-1.02,-1.02,-0.34,-2.37,-7.72,1,0
taylor repetto,1.04,-2.38,-1.56,-0.85,-4.79,-3.75,2,0
taylor repetto,0,0,0,0,0,0,3,0
taylor repetto,0,0,0,0,0,0,4,0
robbie higgins,-2.85,-0.71,-2.97,-2.16,-5.84,-8.72,1,0
robbie higgins,-0.43,0.76,-4.82,-0.24,-4.31,-4.75,2,0
robbie higgins,0,0,0,0,0,0,3,0
robbie higgins,0,0,0,0,0,0,4,0
jackson ormond,-1.34,-0.81,-4,-0.54,-5.35,-6.72,1,0
jackson ormond,-0.55,-3.3,-3.21,-0.68,-7.2,-7.75,2,0
jackson ormond,0,0,0,0,0,0,3,0
jackson ormond,0,0,0,0,0,0,4,0
greyson leach,-4.11,0.11,-1.93,0.24,-1.58,-5.72,1,0
greyson leach,-3.6,-4.17,-3.15,1.17,-6.15,-9.75,2,0
greyson leach,0,0,0,0,0,0,3,0
greyson leach,0,0,0,0,0,0,4,0
sveinsson arni,-1.71,-0.75,-0.97,-7.25,-8.98,-10.72,1,0
sveinsson arni,-0.78,-0.2,-1.05,-2.72,-3.97,-4.75,2,0
sveinsson arni,0,0,0,0,0,0,3,0
sveinsson arni,0,0,0,0,0,0,4,0
