Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
aaron rai,0.0,0.0,0,0,0.0,0.0,3,0.0
aaron rai,0.0,0.0,0,0,0.0,0.0,4,0.0
harry hall,1.16,-1.32,-0.41,-2.3,-4.03,-2.87,1,0.4286
harry hall,-0.21,0.15,0.2,0.24,0.59,0.39,2,0.4
harry hall,0.0,0.0,0,0,0.0,0.0,3,0.0
harry hall,0.0,0.0,0,0,0.0,0.0,4,0.0
erik van rooyen,-0.47,-0.02,-5.28,1.89,-3.4,-3.87,1,0.25
erik van rooyen,1.77,-0.76,-0.26,0.64,-0.38,1.39,2,0.6667
erik van rooyen,0.0,0.0,0,0,0.0,0.0,3,0.0
erik van rooyen,0.0,0.0,0,0,0.0,0.0,4,0.0
davis thompson,-2.03,1.51,0.62,0.03,2.16,0.13,1,0.3333
davis thompson,-2.02,-0.29,0.27,-0.57,-0.59,-2.62,2,0.4545
davis thompson,0.0,0.0,0,0,0.0,0.0,3,0.0
davis thompson,0.0,0.0,0,0,0.0,0.0,4,0.0
haotong li,1.02,-0.46,0.77,-2.2,-1.89,-0.87,1,0.375
haotong li,-1.41,0.74,-2.16,1.22,-0.2,-1.61,2,0.5
haotong li,0.0,0.0,0,0,0.0,0.0,3,0.0
haotong li,0.0,0.0,0,0,0.0,0.0,4,0.0
john keefer,-1.32,0.25,-2.41,0.61,-1.55,-2.87,1,0.8
john keefer,-1.69,1.09,0.68,0.31,2.08,0.39,2,0.5
john keefer,0.0,0.0,0,0,0.0,0.0,3,0.0
john keefer,0.0,0.0,0,0,0.0,0.0,4,0.0
kurt kitayama,-2.08,-0.14,1.87,-0.52,1.21,-0.87,1,0.4286
kurt kitayama,-3.29,0.19,0.71,-0.22,0.68,-2.62,2,0.6
kurt kitayama,0.0,0.0,0,0,0.0,0.0,3,0.0
kurt kitayama,0.0,0.0,0,0,0.0,0.0,4,0.0
shane lowry,-0.75,-1.37,0.18,-0.93,-2.12,-2.87,1,0.5714
shane lowry,0.32,-1.6,-0.18,0.85,-0.93,-0.61,2,0.4286
shane lowry,0.0,0.0,0,0,0.0,0.0,3,0.0
shane lowry,0.0,0.0,0,0,0.0,0.0,4,0.0
matthieu pavon,-3.35,-1.58,1.51,1.55,1.48,-1.87,1,0.1667
matthieu pavon,2.19,-0.33,-1.68,-1.79,-3.8,-1.61,2,0.8333
matthieu pavon,0.0,0.0,0,0,0.0,0.0,3,0.0
matthieu pavon,0.0,0.0,0,0,0.0,0.0,4,0.0
vince whaley,-0.34,-2.29,-0.2,-1.04,-3.52,-3.87,1,0.3333
vince whaley,2.45,0.74,0.35,-3.15,-2.07,0.39,2,0.6667
vince whaley,0.0,0.0,0,0,0.0,0.0,3,0.0
vince whaley,0.0,0.0,0,0,0.0,0.0,4,0.0
thorbjorn olesen,-1.66,-0.92,-1.78,-1.5,-4.21,-5.87,1,0.2222
thorbjorn olesen,-1.78,1.74,1.58,0.85,4.17,2.38,2,0.5
thorbjorn olesen,0.0,0.0,0,0,0.0,0.0,3,0.0
thorbjorn olesen,0.0,0.0,0,0,0.0,0.0,4,0.0
s.h. kim,2.03,-1.57,-3.5,1.17,-3.89,-1.87,1,0.625
s.h. kim,-1.2,0.23,-0.98,0.34,-0.41,-1.61,2,0.8
s.h. kim,0.0,0.0,0,0,0.0,0.0,3,0.0
s.h. kim,0.0,0.0,0,0,0.0,0.0,4,0.0
andrew novak,-1.5,0.15,0.57,-1.09,-0.37,-1.87,1,0.5
andrew novak,-2.13,0.21,-0.21,-0.48,-0.48,-2.62,2,0.5
andrew novak,0.0,0.0,0,0,0.0,0.0,3,0.0
andrew novak,0.0,0.0,0,0,0.0,0.0,4,0.0
harris english,2.11,0.54,-4.68,2.17,-1.98,0.13,1,0.6667
harris english,1.23,-0.41,-3.16,-2.27,-5.84,-4.62,2,0.4444
harris english,0.0,0.0,0,0,0.0,0.0,3,0.0
harris english,0.0,0.0,0,0,0.0,0.0,4,0.0
cameron davis,-0.77,0.49,-2.12,-1.48,-3.1,-3.87,1,0.3333
cameron davis,-0.6,0.63,-0.99,0.35,-0.01,-0.61,2,0.7143
cameron davis,0.0,0.0,0,0,0.0,0.0,3,0.0
cameron davis,0.0,0.0,0,0,0.0,0.0,4,0.0
christiaan bezuidenhout,-0.4,-1.39,1.96,-0.04,0.53,0.13,1,0.6667
christiaan bezuidenhout,0.14,1.67,-3.28,-3.14,-4.76,-4.62,2,0.5455
christiaan bezuidenhout,0.0,0.0,0,0,0.0,0.0,3,0.0
christiaan bezuidenhout,0.0,0.0,0,0,0.0,0.0,4,0.0
mark hubbard,0.88,-2.02,0.19,0.09,-1.75,-0.87,1,0.375
mark hubbard,-2.56,0.59,0.5,-2.14,-1.05,-3.62,2,0.375
mark hubbard,0.0,0.0,0,0,0.0,0.0,3,0.0
mark hubbard,0.0,0.0,0,0,0.0,0.0,4,0.0
joel dahmen,-2.92,-1.18,0.38,-0.15,-0.95,-3.87,1,0.4545
joel dahmen,-1.2,0.06,1.06,-0.53,0.58,-0.61,2,0.6667
joel dahmen,0.0,0.0,0,0,0.0,0.0,3,0.0
joel dahmen,0.0,0.0,0,0,0.0,0.0,4,0.0
zecheng dou,0.57,-1.95,-0.52,-0.97,-3.44,-2.87,1,0.5455
zecheng dou,-1.51,2.22,-1.13,-1.2,-0.1,-1.61,2,0.5
zecheng dou,0.0,0.0,0,0,0.0,0.0,3,0.0
zecheng dou,0.0,0.0,0,0,0.0,0.0,4,0.0
denny mccarthy,-2.26,-0.66,0.91,-0.86,-0.61,-2.87,1,0.375
denny mccarthy,-0.1,-0.45,0.73,-2.79,-2.52,-2.62,2,0.375
denny mccarthy,0.0,0.0,0,0,0.0,0.0,3,0.0
denny mccarthy,0.0,0.0,0,0,0.0,0.0,4,0.0
mackenzie hughes,1.42,0.55,0.39,-3.23,-2.29,-0.87,1,0.5
