Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
128402-78095:Ryan Fox,128402-78095,G,Ryan,Ryan Fox,Fox,74.72000122,5,8300,,,,,,,,,G
128402-77881:Keegan Bradley,128402-77881,G,Keegan,Keegan Bradley,Bradley,53.98571341,7,8300,,,,,,,,,G
128402-80788:Wyndham Clark,128402-80788,G,Wyndham,Wyndham Clark,Clark,66.27500153,8,8200,,,,,,,,,G
128402-78289:Dustin Johnson,128402-78289,G,Dustin,Dustin Johnson,Johnson,26.27499962,4,8200,,,,,,,,,G
128402-151427:Rasmus Hojgaard,128402-151427,G,Rasmus,Rasmus Hojgaard,Hojgaard,65.46250153,8,8100,,,,,,,,,G
128402-78357:Kurt Kitayama,128402-78357,G,Kurt,Kurt Kitayama,Kitayama,71.3125,8,8100,,,,,,,,,G
128402-78889:Nick Taylor,128402-78889,G,Nick,Nick Taylor,Taylor,70.60000271,9,8000,,,,,,,,,G
128402-80556:Max Greyserman,128402-80556,G,Max,Max Greyserman,Greyserman,56.52500153,8,8000,,,,,,,,,G
128402-201276:Rasmus Neergaard-Petersen,128402-201276,G,Rasmus,Rasmus Neergaard-Petersen,Neergaard-Petersen,59.85000102,6,8000,,,,,,,,,G
128402-78116:Sergio Garcia,128402-78116,G,Sergio,Sergio Garcia,Garcia,45.8666687,3,7900,,,,,,,,,G
128402-170736:Matthew McCarty,128402-170736,G,Matthew,Matthew McCarty,McCarty,62.37999878,10,7900,,,,,,,,,G
128402-171574:Aldrich Potgieter,128402-171574,G,Aldrich,Aldrich Potgieter,Potgieter,50.48749924,8,7800,,,,,,,,,G
128402-165953:Sam Stevens,128402-165953,G,Sam,Sam Stevens,Stevens,77.37778049,9,7800,,,,,,,,,G
128402-82360:Andrew Novak,128402-82360,G,Andrew,Andrew Novak,Novak,62.4888916,9,7700,,,,,,,,,G
128402-119289:Harry Hall,128402-119289,G,Harry,Harry Hall,Hall,68.08750153,8,7700,,,,,,,,,G
128402-78344:Michael Kim,128402-78344,G,Michael,Michael Kim,Kim,66.33333333,9,7600,,,,,,,,,G
128402-211781:John Keefer,128402-211781,G,John,John Keefer,Keefer,55.22222222,9,7600,,,,,,,,,G
128402-78626:Carlos Ortiz,128402-78626,G,Carlos,Carlos Ortiz,Ortiz,42.70000076,2,7500,,,,,,,,,G
128402-189477:Tom McKibbin,128402-189477,G,Tom,Tom McKibbin,McKibbin,32.45000076,2,7500,,,,,,,,,G
128402-165892:Michael Brennan,128402-165892,G,Michael,Michael Brennan,Brennan,57.53333198,9,7400,,,,,,,,,G
128402-78547:Phil Mickelson,128402-78547,G,Phil,Phil Mickelson,Mickelson,26.92499924,4,7400,,,,O,Personal,,,,G
128402-179513:Nicolas Echavarria,128402-179513,G,Nicolas,Nicolas Echavarria,Echavarria,58.91111247,9,7300,,,,,,,,,G
128402-79599:Davis Riley,128402-79599,G,Davis,Davis Riley,Riley,46.72222222,9,7300,,,,,,,,,G
128402-78984:Danny Willett,128402-78984,G,Danny,Danny Willett,Willett,43.52500153,4,7200,,,,,,,,,G
128402-78960:Bubba Watson,128402-78960,G,Bubba,Bubba Watson,Watson,70.90000153,1,7200,,,,,,,,,G
128402-151448:Sami Valimaki,128402-151448,G,Sami,Sami Valimaki,Valimaki,54.5625,8,7100,,,,,,,,,G
128402-84467:Kristoffer Reitan,128402-84467,G,Kristoffer,Kristoffer Reitan,Reitan,53.63750076,8,7100,,,,,,,,,G
128402-226953:Mason Howell,128402-226953,G,Mason,Mason Howell,Howell,31.79999924,1,7000,,,,,,,,,G
128402-77974:Fred Couples,128402-77974,G,Fred,Fred Couples,Couples,19.10000038,1,7000,,,,,,,,,G
128402-163242:Naoyuki Kataoka,128402-163242,G,Naoyuki,Naoyuki Kataoka,Kataoka,,0,7000,,,,,,,,,G
128402-79406:Jose Maria Olazabal,128402-79406,G,Jose Maria,Jose Maria Olazabal,Olazabal,14.69999981,1,7000,,,,,,,,,G
128402-78779:Charl Schwartzel,128402-78779,G,Charl,Charl Schwartzel,Schwartzel,53,1,7000,,,,,,,,,G
