Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Scrambling,Rounds
chandler blanchet,-0.51,-0.33,0.46,-0.9,-0.77,-1.28,0.6667,1
chandler blanchet,0.12,-1.12,-0.3,-0.33,-1.75,-1.63,0.5,2
chandler blanchet,2.92,0.65,1.49,-0.19,1.95,4.87,1,3
chandler blanchet,0.39,-1.05,-0.39,0.27,-1.17,-0.78,0.6667,4
michael thorbjornsen,-1.03,0.82,-0.41,0.34,0.75,-0.28,0.8889,1
michael thorbjornsen,-1.96,2.5,1.28,-0.46,3.32,1.37,0.875,2
michael thorbjornsen,-3.91,-0.82,-0.53,0.12,-1.23,-5.13,0.4286,3
michael thorbjornsen,2.04,0.09,2.23,0.86,3.18,5.22,1,4
jason day,-0.97,0.58,-0.23,0.34,0.69,-0.28,0.8333,1
jason day,1.55,1.52,-2.57,-3.13,-4.18,-2.63,0.6364,2
jason day,-0.76,-1.42,0.08,-1.03,-2.38,-3.13,0.5556,3
jason day,3.04,0.31,2.77,0.1,3.18,6.22,0.75,4
sungjae im,1.39,1.63,-0.35,1.05,2.33,3.72,0.8333,1
sungjae im,-1.84,-0.16,-0.61,-0.02,-0.79,-2.63,0.75,2
sungjae im,-1.61,0.24,0.33,-0.09,0.48,-1.13,0.7143,3
sungjae im,0.02,1.26,-0.2,-0.86,0.2,0.22,0.6667,4
sepp straka,3.48,-1.37,1.19,0.42,0.24,3.72,1,1
sepp straka,0.52,1.75,-1.42,1.51,1.84,2.37,0.8571,2
sepp straka,-1.51,1.51,1.94,-0.08,3.38,1.87,0.8,3
sepp straka,-2.15,-3.33,-0.27,-2.03,-5.63,-7.78,0.2857,4
viktor hovland,3.61,0.29,1.3,0.52,2.11,5.72,1,1
viktor hovland,2.69,0.85,1.25,-0.43,1.68,4.37,0.75,2
viktor hovland,-3.57,1.81,-2.81,0.45,-0.56,-4.13,0.4286,3
viktor hovland,-3.26,0.01,-3.8,1.27,-2.52,-5.78,0.5,4
robert macintyre,0.03,0.98,1.62,1.09,3.69,3.72,0.75,1
robert macintyre,0.93,3.15,-2.99,0.27,0.44,1.37,0.7143,2
robert macintyre,2.23,-0.4,-3.88,-0.09,-4.37,-2.13,0.5556,3
robert macintyre,-0.82,-1.41,-0.63,0.08,-1.96,-2.78,0.7273,4
lucas glover,-1.63,-0.51,2.75,0.11,2.35,0.72,0.6,1
lucas glover,1.4,1.3,-1.42,1.07,0.96,2.37,0.8889,2
lucas glover,2.52,-1.65,-0.47,0.47,-1.65,0.87,0.8889,3
lucas glover,-0.88,-3.02,0.98,-0.86,-2.9,-3.78,0.5,4
shane lowry,-0.62,-1.05,0.69,0.71,0.34,-0.28,0.6,1
shane lowry,1.48,0.12,-1.29,0.06,-1.11,0.37,0.8,2
shane lowry,0.99,-0.35,1.3,-0.07,0.88,1.87,1,3
shane lowry,0.56,0.71,-2.5,-0.54,-2.33,-1.78,0.6364,4
daniel berger,0.14,0.73,2.74,0.11,3.58,3.72,0.75,1
daniel berger,-0.44,-1.5,-1.31,-1.38,-4.19,-4.63,0.5,2
daniel berger,0.05,-0.43,2.24,-0.99,0.82,0.87,0.6,3
daniel berger,-0.1,0.53,-1.32,1.11,0.32,0.22,0.7143,4
andrew putnam,-0.55,0.28,1.53,-2.54,-0.73,-1.28,0.5,1
andrew putnam,-0.04,-0.56,2.04,-0.07,1.4,1.37,0.8333,2
andrew putnam,-1.39,-0.57,1.9,-0.08,1.25,-0.13,0.8,3
andrew putnam,0.32,0.63,-0.39,-0.33,-0.1,0.22,0.875,4
michael brennan,0.61,-0.63,3.84,0.9,4.11,4.72,0.5,1
michael brennan,1.04,-2.94,1.26,1.01,-0.68,0.37,0.7143,2
michael brennan,0.69,0.04,-4.01,0.14,-3.83,-3.13,0.4444,3
michael brennan,-1.01,-0.75,-1.14,1.12,-0.77,-1.78,0.5,4
tommy fleetwood,-1.94,0.34,-2.21,-2.47,-4.34,-6.28,0.4444,1
tommy fleetwood,-0.35,0.69,0.98,1.04,2.72,2.37,1,2
tommy fleetwood,1.11,-0.86,-2.23,1.85,-1.24,-0.13,0.875,3
tommy fleetwood,1.89,0.01,2.02,-0.7,1.33,3.22,0.7143,4
garrick higgo,-0.6,-0.06,-0.67,-0.95,-1.68,-2.28,0.625,1
garrick higgo,-0.24,0.43,0.07,0.11,0.61,0.37,0.875,2
garrick higgo,-2.03,-1.88,2.4,-1.61,-1.1,-3.13,0.7,3
garrick higgo,2.74,0.12,0.83,0.52,1.48,4.22,0.8333,4
sudarshan yellamaraju,0.16,0.22,-2.16,-2.5,-4.44,-4.28,0.9,1
sudarshan yellamaraju,-0.11,-0.12,2.46,1.14,3.48,3.37,0.8,2
sudarshan yellamaraju,-2.07,-1.04,-0.08,1.06,-0.06,-2.13,0.4,3
sudarshan yellamaraju,0.49,0.61,0.87,0.25,1.73,2.22,0.5714,4
corey conners,2.25,-1.47,0.34,1.6,0.47,2.72,0.8,1
corey conners,1.86,-1.5,-0.3,0.3,-1.5,0.37,0.7143,2
corey conners,0.09,-1.02,-2.45,-0.75,-4.22,-4.13,0.5833,3
corey conners,-1.73,0.04,0.19,0.72,0.95,-0.78,0.7143,4
matt wallace,1.01,-0.07,1.73,-1.95,-0.29,0.72,0.5,1
matt wallace,-2.75,1.42,-0.64,-0.66,0.12,-2.63,0.5714,2
matt wallace,-0.35,2.46,-0.43,-0.81,1.22,0.87,0.75,3
matt wallace,-0.45,0.65,-0.55,-0.43,-0.33,-0.78,0.7,4
nicolai hojgaard,-1.33,0.03,-2.58,0.6,-1.95,-3.28,0.5,1
nicolai hojgaard,-0.79,-0.49,2.25,0.39,2.15,1.37,0.75,2
nicolai hojgaard,-1.54,-0.67,-0.45,1.52,0.41,-1.13,0.7143,3
nicolai hojgaard,-0.09,1.52,-0.04,-0.17,1.31,1.22,0.875,4
sami valimaki,2.54,-2.56,0.79,0.96,-0.82,1.72,0.8571,1
sami valimaki,-0.61,0.01,2.27,0.69,2.98,2.37,0.75,2
sami valimaki,-2.4,0.07,2.02,0.18,2.27,-0.13,0.5714,3
sami valimaki,-0.37,0.04,-3.02,-2.43,-5.41,-5.78,0.5556,4
william mouw,-1.54,-0.57,3.85,-0.02,3.26,1.72,1,1
william mouw,-2.18,2.01,-3.1,-0.37,-1.46,-3.63,0.4286,2
william mouw,-2.58,-1.62,1.28,-0.2,-0.55,-3.13,0.6,3
william mouw,0.68,1.54,0.84,0.15,2.54,3.22,0.5,4
j.t. poston,-1.95,2,-2.21,0.88,0.67,-1.28,0.7143,1
j.t. poston,-0.55,-0.42,-2.31,-0.35,-3.08,-3.63,0.5,2
j.t. poston,0.2,0.5,2.23,-2.06,0.67,0.87,0.6667,3
j.t. poston,-2.69,0.73,2.78,0.4,3.92,1.22,0.8,4
nick taylor,0.05,-0.16,0.06,0.77,0.67,0.72,0.6667,1
nick taylor,-0.15,0.74,-0.85,-0.38,-0.48,-0.63,0.5714,2
nick taylor,-3.04,-0.07,1.5,0.47,1.91,-1.13,0,3
nick taylor,-1.82,-0.27,0.06,0.24,0.04,-1.78,0.5556,4
min woo lee,-1.75,0.25,-0.42,1.64,1.47,-0.28,0.4,1
min woo lee,-1.57,0.15,0.41,0.36,0.93,-0.63,1,2
