Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
sepp straka,-0.92,0.09,1.32,3.76,2.84,3,0.5
sepp straka,-0.78,0.17,0.86,2.46,1.69,4,0.8
michael kim,-0.7,-0.4,0.17,0.59,-0.11,1,0.8333
michael kim,4.81,-0.12,-0.45,0.47,5.29,2,0.5
michael kim,-0.92,1.32,-0.17,-1.25,-2.16,3,0.7143
michael kim,1.18,0.25,0.96,1.51,2.69,4,0.3333
sahith theegala,0.5,-0.38,-1.54,0.38,0.89,1,0.2
sahith theegala,1.7,3.58,-0.6,3.59,5.29,2,0.75
sahith theegala,1.8,0.23,-1.23,-1.97,-0.16,3,0.5714
sahith theegala,-0.1,0.6,-1.96,-0.22,-0.32,4,0.6
mac meissner,3.4,-1.87,-1.5,-3.52,-0.11,1,0.625
mac meissner,0.78,0.93,-0.48,1.5,2.29,2,0.75
mac meissner,0.25,0.1,0.61,0.59,0.84,3,0.6
mac meissner,1.62,1.53,-0.16,1.07,2.69,4,0.8571
kurt kitayama,-1.4,0.73,1.52,3.29,1.89,1,1.0
kurt kitayama,1.03,-0.04,-1.6,-1.74,-0.71,2,0.5714
kurt kitayama,1.26,0.07,-2.73,-1.43,-0.16,3,0.4
kurt kitayama,-0.71,0.81,2.29,4.39,3.69,4,1.0
ryan fox,1.29,0.24,-1.25,0.6,1.89,1,0.5714
ryan fox,-1.13,2.12,-0.45,2.41,1.29,2,0.5
ryan fox,1.04,-1.14,1.27,-1.21,-0.16,3,0.6667
ryan fox,0.94,-1.2,0.94,0.75,1.69,4,0.4
rasmus hojgaard,3.31,-2.18,-0.13,-0.42,2.89,1,0.6
rasmus hojgaard,-0.28,-0.01,0.77,0.56,0.29,2,0.5
rasmus hojgaard,1.86,-0.32,1.09,1.97,3.84,3,1.0
rasmus hojgaard,-0.54,0.72,-1.63,-1.77,-2.31,4,0.4
rico hoey,-0.27,-0.97,-0.89,0.15,-0.11,1,0.7143
rico hoey,-2.08,0.66,1.83,3.37,1.29,2,0.4
rico hoey,0.1,0.26,0.79,-0.27,-0.16,3,0.6
rico hoey,-0.91,1.41,1.19,4.6,3.69,4,0.8
ben griffin,0.45,1.72,-1.94,-0.57,-0.11,1,0.7143
ben griffin,0.33,0.17,0.59,2.96,3.29,2,0.5
ben griffin,0.99,1.44,-2.25,-0.15,0.84,3,0.6667
ben griffin,-0.43,0.48,0.22,0.11,-0.32,4,0.6667
nick taylor,0.96,-2.02,0.41,-1.08,-0.11,1,0.625
nick taylor,1.73,0.57,1.09,0.56,2.29,2,0.7143
nick taylor,0.3,-0.45,-1.51,-1.46,-1.16,3,0.7143
nick taylor,-0.69,0.6,-0.07,3.37,2.69,4,0.5
stephan jaeger,1.08,-0.54,-0.23,-0.2,0.89,1,0.8
stephan jaeger,0.56,2.68,0.58,3.72,4.29,2,1.0
stephan jaeger,2.27,-0.1,-0.43,-1.44,0.84,3,0.3333
stephan jaeger,0.05,1.34,-2.75,-2.36,-2.31,4,0.5714
harry english,-0.73,0.6,1.66,1.62,0.89,1,0.75
harry english,1.86,-1.98,0.88,-0.57,1.29,2,0.3333
harry english,-0.85,0.77,0.86,0.68,-0.16,3,0.6667
harry english,1.03,-1.08,0.42,0.65,1.69,4,0.75
mackenzie hughes,0.24,0.89,0.58,2.64,2.89,1,0.8333
mackenzie hughes,2.19,0.94,-0.71,-0.9,1.29,2,0.4
mackenzie hughes,0.51,0.93,-0.31,0.32,0.84,3,0.5714
mackenzie hughes,-1.46,1.29,-0.01,0.14,-1.31,4,0.7143
min woo lee,0.4,1.49,-0.17,-0.51,-0.11,1,0.8182
min woo lee,-0.21,2.55,1.82,5.5,5.29,2,1.0
min woo lee,0.08,-0.48,2.36,1.75,1.84,3,0.4
min woo lee,-1.99,1.95,-1.65,-1.33,-3.31,4,0.4286
a.j. ewart,-0.85,0.36,0.8,2.74,1.89,1,0.5
a.j. ewart,1.21,0.39,0.61,1.07,2.29,2,0.3333
a.j. ewart,-2.44,0.57,0.14,0.27,-2.16,3,0.7143
a.j. ewart,-0.08,0.28,-0.13,1.77,1.69,4,1.0
j.t. poston,-1.75,-2.07,0.33,-1.36,-3.11,1,0.4
j.t. poston,1.11,0.14,1.06,2.17,3.29,2,0.6
j.t. poston,-0.36,-0.23,0.43,0.19,-0.16,3,0.5
j.t. poston,2.35,-1.17,1.21,0.34,2.69,4,0.25
sam stevens,0.2,-0.1,1.48,4.69,4.89,1,1.0
sam stevens,1.8,-0.08,-0.95,-1.51,0.29,2,0.6667
sam stevens,-1.32,0.63,-1,-0.85,-2.16,3,0.6667
sam stevens,-1.3,1.27,0.64,0.99,-0.32,4,0.375
wyndham clark,-1.44,-0.73,0.21,-0.67,-2.11,1,0.5
wyndham clark,-0.34,0.12,0.94,2.63,2.29,2,0.5
wyndham clark,1.19,0.46,0.23,0.65,1.84,3,0.75
wyndham clark,1.4,0.3,0.3,-0.71,0.69,4,0.7143
tom kim,-1.83,-0.9,0.01,-0.28,-2.11,1,0.6667
tom kim,1.22,0.56,0.6,3.07,4.29,2,0.5
tom kim,-0.27,-0.96,0.24,-0.9,-1.16,3,0.4
tom kim,0.55,0.47,0.23,1.14,1.69,4,0.8333
alex smalley,0.32,0.01,-2.29,-3.44,-3.11,1,0.7273
alex smalley,2.04,-1.74,1.78,1.25,3.29,2,0.6667
alex smalley,0.02,0.4,1.72,1.82,1.84,3,0.5
alex smalley,0.48,-0.25,-0.65,0.2,0.69,4,0.5
john parry,3.06,0.07,-0.98,-1.18,1.89,1,0.4286
john parry,1.39,-0.84,-0.62,2.9,4.29,2,0.3333
john parry,1.95,-0.39,-0.35,-0.11,1.84,3,0.5
john parry,-2.99,-1.03,0.48,-2.33,-5.32,4,0.5714
cameron young,2.32,-0.48,-0.72,-1.43,0.89,1,0.75
cameron young,1.25,-0.23,0.13,0.03,1.29,2,0.6667
cameron young,0.35,0.96,-0.22,0.48,0.84,3,0.6
cameron young,-1.34,0.62,0.93,0.02,-1.31,4,0.75
xander schauffele,-0.39,-0.43,0.79,0.28,-0.11,1,0.6
xander schauffele,-0.1,-1.09,0.91,0.38,0.29,2,0.5
xander schauffele,-1.35,-1.42,0.98,-1.81,-3.16,3,0.375
xander schauffele,1.51,0.64,0.12,3.17,4.68,4,1.0
