Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
nico echavarria,0.09,-2.19,0.69,-2.81,-2.71,2,0.4286
nico echavarria,0,0,0,0,0,3,0.0
nico echavarria,0,0,0,0,0,4,0.0
matti schmid,-3.17,-0.17,-1.18,-2.95,-6.11,1,0.2857
matti schmid,-0.86,2.65,-0.13,2.15,1.29,2,0.75
matti schmid,0,0,0,0,0,3,0.0
matti schmid,0,0,0,0,0,4,0.0
brice garnett,-1.51,0.42,-2.85,-1.6,-3.11,1,0.65
brice garnett,-0.16,-1.02,-0.12,-1.55,-1.71,2,0.5
brice garnett,0,0,0,0,0,3,0.0
brice garnett,0,0,0,0,0,4,0.0
austin smotherman,-0.55,-0.03,-0.25,1.44,0.89,1,0.5
austin smotherman,-1.54,0.01,-4.01,-4.17,-5.71,2,0.2857
austin smotherman,0,0,0,0,0,3,0.0
austin smotherman,0,0,0,0,0,4,0.0
pontus nyholm,-0.41,-0.43,-0.13,-2.7,-3.11,1,0.5
pontus nyholm,-1,-0.87,-1.26,-0.71,-1.71,2,0.3333
pontus nyholm,0,0,0,0,0,3,0.0
pontus nyholm,0,0,0,0,0,4,0.0
marco penge,1.3,-1.06,2.03,-1.42,-0.11,1,0.75
marco penge,-1.81,-0.96,-0.52,-2.9,-4.71,2,0.375
marco penge,0,0,0,0,0,3,0.0
marco penge,0,0,0,0,0,4,0.0
davis chatfield,-2.03,1.92,-0.29,-1.08,-3.11,1,0.6667
davis chatfield,-0.9,-1.96,0.43,-0.81,-1.71,2,0.25
davis chatfield,0,0,0,0,0,3,0.0
davis chatfield,0,0,0,0,0,4,0.0
brian harman,-2.71,0.21,0.34,-0.4,-3.11,1,0.3333
brian harman,-0.76,0.53,-1.55,-1.96,-2.71,2,0.8182
brian harman,0,0,0,0,0,3,0.0
brian harman,0,0,0,0,0,4,0.0
harry hall,0.31,1.07,-0.44,-1.43,-1.11,1,0.5455
harry hall,-1.01,-0.36,-0.58,-3.7,-4.71,2,0.3333
harry hall,0,0,0,0,0,3,0.0
harry hall,0,0,0,0,0,4,0.0
sam burns,-1.38,-1.4,0.28,0.26,-1.11,1,0.4
sam burns,-0.31,-2.33,-0.12,-4.4,-4.71,2,0.25
sam burns,0,0,0,0,0,3,0.0
sam burns,0,0,0,0,0,4,0.0
aldrich potgieter,-0.15,0.03,-1.58,-1.97,-2.11,1,0.7273
aldrich potgieter,-2.55,-0.17,-0.68,-1.17,-3.71,2,0.375
aldrich potgieter,0,0,0,0,0,3,0.0
aldrich potgieter,0,0,0,0,0,4,0.0
webb simpson,0.01,1.54,-2.58,-1.12,-1.11,1,0.3333
webb simpson,-1.59,-2.07,-0.83,-4.12,-5.71,2,0.6667
webb simpson,0,0,0,0,0,3,0.0
webb simpson,0,0,0,0,0,4,0.0
andrew novak,-0.86,-1.3,-1.72,-4.25,-5.11,1,0.25
andrew novak,-0.86,0.92,-0.28,-1.85,-2.71,2,0.5556
andrew novak,0,0,0,0,0,3,0.0
andrew novak,0,0,0,0,0,4,0.0
davis riley,0.1,1.26,-2.15,-2.22,-2.11,1,0.6667
davis riley,-1.04,0.16,-2.28,-4.67,-5.71,2,0.0
davis riley,0,0,0,0,0,3,0.0
davis riley,0,0,0,0,0,4,0.0
adam schenk,-0.07,0.86,-2.07,-2.04,-2.11,1,0.5714
adam schenk,-3.6,-0.32,0.58,-2.12,-5.71,2,0.4286
adam schenk,0,0,0,0,0,3,0.0
adam schenk,0,0,0,0,0,4,0.0
alejandro tosti,-3.32,0.01,1.12,-0.8,-4.11,1,0.5
alejandro tosti,-2.44,0.14,-2.56,-2.28,-4.71,2,0.6
alejandro tosti,0,0,0,0,0,3,0.0
alejandro tosti,0,0,0,0,0,4,0.0
danny walker,-1.28,0.55,-1.93,-0.83,-2.11,1,0.375
danny walker,-3.09,0.66,-1.09,-3.63,-6.71,2,0.5833
danny walker,0,0,0,0,0,3,0.0
danny walker,0,0,0,0,0,4,0.0
eric cole,1.65,0.03,-1.8,-2.76,-1.11,1,0.6667
eric cole,-3.43,-1.03,-3.18,-5.28,-8.71,2,0.3333
eric cole,0,0,0,0,0,3,0.0
eric cole,0,0,0,0,0,4,0.0
william mouw,-1.21,-0.97,0.43,-3.91,-5.11,1,0.3333
william mouw,-2.17,-2.59,-3.13,-4.55,-6.71,2,0.375
william mouw,0,0,0,0,0,3,0.0
william mouw,0,0,0,0,0,4,0.0
thomas avant,-2.57,-5.53,-0.76,-8.54,-11.11,1,0.3
thomas avant,-1.88,-1.3,-1.16,-4.83,-6.71,2,0.25
thomas avant,0,0,0,0,0,3,0.0
thomas avant,0,0,0,0,0,4,0.0
emilio gonzalez,0.27,-0.38,-2.29,-5.38,-5.11,1,0.4167
emilio gonzalez,0,0,0,0,0,2,0.0
emilio gonzalez,0,0,0,0,0,3,0.0
emilio gonzalez,0,0,0,0,0,4,0.0
