Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Scrambling,Rounds
mackenzie hughes,2.99,0.29,0.75,0.45,1.5,4.49,0.8,4
jordan spieth,0.66,-2.08,-0.82,1.78,-1.13,-0.47,0.5714,1
jordan spieth,0.71,-0.3,-0.62,-0.04,-0.96,-0.25,0.6667,2
jordan spieth,0.29,1.27,-0.74,0.89,1.42,1.71,0.625,3
jordan spieth,-2.61,-0.96,-2.45,1.5,-1.91,-4.51,0.5,4
max homa,0.93,-0.1,-2.83,-0.47,-3.4,-2.47,0.7778,1
max homa,3.75,0.74,-2.76,-0.98,-3,0.75,0.7,2
max homa,-0.85,-1.74,-0.4,0.7,-1.44,-2.29,0.5714,3
max homa,-0.25,1.45,0.51,-1.22,0.74,0.49,0.7143,4
brian campbell,0.43,0.64,-1.25,-1.29,-1.9,-1.47,0.5,1
brian campbell,0.1,1.56,-2.16,-0.75,-1.35,-1.25,0.625,2
brian campbell,0.48,-0.28,-0.99,-0.5,-1.77,-1.29,0.5714,3
brian campbell,-0.52,1.2,1.5,-1.7,1,0.49,0.5556,4
jacob bridgeman,2.2,0.3,-0.47,-0.5,-0.67,1.53,0.6667,1
jacob bridgeman,1.44,-0.79,0.46,-0.36,-0.69,0.75,0.8571,2
jacob bridgeman,-0.61,0.26,1.27,0.79,2.32,1.71,1,3
jacob bridgeman,-5.6,0.89,-2.81,0.01,-1.91,-7.51,0.2857,4
chandler blanchet,-1.01,-0.86,-1.15,0.54,-1.46,-2.47,0.5714,1
chandler blanchet,-1.04,-0.83,3.3,0.32,2.79,1.75,0.75,2
chandler blanchet,0.16,-0.91,-0.56,1.02,-0.45,-0.29,0.5,3
chandler blanchet,2.46,-3.11,-0.95,-0.91,-4.97,-2.51,0.6,4
xander schauffele,2.06,-0.38,0.32,-0.48,-0.53,1.53,0.6,1
xander schauffele,-0.35,-2.46,0.07,0.49,-1.9,-2.25,0.3333,2
xander schauffele,-1.82,-0.86,-0.29,0.68,-0.47,-2.29,0.5,3
xander schauffele,-1.54,1.17,-2.28,1.14,0.03,-1.51,0.4286,4
robert macintyre,-1.84,-2.66,0.77,0.26,-1.63,-3.47,0.375,1
robert macintyre,0.92,-0.99,0.48,0.34,-0.17,0.75,0,2
robert macintyre,0.41,-1.13,0.5,0.93,0.3,0.71,0.4,3
robert macintyre,-1.14,1.01,-2.7,0.31,-1.37,-2.51,0.5556,4
ricky castillo,0.73,0.56,0.17,1.06,1.8,2.53,0.6,1
ricky castillo,1.77,-2.05,-0.67,-2.29,-5.02,-3.25,0.5,2
ricky castillo,0.8,1.51,-2.07,0.46,-0.09,0.71,0.625,3
ricky castillo,0.13,-0.44,-3.22,-0.98,-4.64,-4.51,0.5556,4
ben griffin,1.82,0.69,-1.14,0.16,-0.29,1.53,0.8,1
ben griffin,-0.5,-1.65,-0.32,0.21,-1.75,-2.25,0.375,2
ben griffin,0.14,-2.66,-2.4,-0.37,-5.43,-5.29,0.4444,3
ben griffin,3.6,-1.04,-1.58,-0.49,-3.12,0.49,0.8889,4
sepp straka,2.04,-1.1,2.51,1.09,2.49,4.53,1,1
sepp straka,-0.96,0.34,0.48,-2.11,-1.29,-2.25,0.4286,2
sepp straka,-2.02,-1.64,0.72,-0.35,-1.27,-3.29,0.8333,3
sepp straka,0.13,-1.44,-0.91,-2.3,-4.64,-4.51,0.5455,4
si woo kim,-0.33,-0.03,0.47,0.42,0.86,0.53,0.8333,1
si woo kim,-1.43,-0.15,-0.27,-0.4,-0.82,-2.25,0.5,2
si woo kim,1.01,-0.99,-0.82,-0.49,-2.3,-1.29,0.4,3
si woo kim,-2.04,-2.54,0.21,0.86,-1.48,-3.51,0.2857,4
ryan gerard,-0.49,1,-0.16,-0.82,0.02,-0.47,0.7143,1
ryan gerard,-1.47,-0.33,-0.17,0.72,0.22,-1.25,0.625,2
ryan gerard,-3.47,-1.73,-1.27,0.17,-2.83,-6.29,0.4286,3
ryan gerard,1.5,-0.54,2.17,-1.65,-0.02,1.49,0.6667,4
ryan fox,-0.12,-0.69,-1.94,0.28,-2.35,-2.47,0.625,1
ryan fox,-4.31,0.16,-1.5,0.4,-0.94,-5.25,0.5714,2
ryan fox,-0.53,0.49,-0.3,1.05,1.24,0.71,0.6,3
ryan fox,-0.24,-2.14,0.95,-0.09,-1.28,-1.51,0.5,4
jason day,-1.97,0.45,-2.07,-0.88,-2.5,-4.47,0.1429,1
jason day,0.29,-0.49,1.48,0.47,1.46,1.75,0.6667,2
jason day,-2.71,1.6,0.7,-1.88,0.42,-2.29,0.2,3
jason day,-0.86,0.58,-3.38,-0.85,-3.65,-4.51,0.5,4
sahith theegala,-0.03,-0.64,-0.1,-0.71,-1.45,-1.47,0.3333,1
sahith theegala,-0.09,-1.18,0.62,0.4,-0.16,-0.25,0.4444,2
sahith theegala,-2.11,1.93,-2.9,0.79,-0.18,-2.29,0.5,3
sahith theegala,-3.63,1.8,-2.64,-2.05,-2.89,-6.51,0.5,4
sam stevens,-1.19,0.07,-2.23,-0.13,-2.28,-3.47,0.4444,1
sam stevens,-2.93,-0.02,-0.65,-0.66,-1.32,-4.25,0.6667,2
sam stevens,-0.33,0.95,-0.76,-0.15,0.04,-0.29,0.1667,3
sam stevens,-0.99,-0.48,-1.8,-0.25,-2.52,-3.51,0.5,4
hideki matsuyama,-1.57,0.19,0.25,-0.34,0.1,-1.47,0.8333,1
hideki matsuyama,1.3,-0.96,-3.44,-1.15,-5.55,-4.25,0.7273,2
hideki matsuyama,-3.55,-0.29,3.04,-1.49,1.26,-2.29,0.3333,3
hideki matsuyama,-1.01,0.26,-3.02,-1.74,-4.5,-5.51,0.4444,4
tom hoge,-0.17,1.15,-0.15,-0.3,0.7,0.53,0.8889,1
tom hoge,-1.06,0.32,-1.03,-0.48,-1.19,-2.25,0.7143,2
tom hoge,-2.1,-1,0.99,-4.19,-4.2,-6.29,0.5714,3
tom hoge,-2.66,-1.25,0.17,-3.77,-4.86,-7.51,0.1111,4
