Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds
justin thomas,-0.57,-0.06,-0.52,0.25,-0.34,-0.91,4
jacob bridgeman,-0.64,1.05,2.42,0.82,4.29,3.65,1
jacob bridgeman,-0.79,0.59,-0.35,-0.6,-0.36,-1.15,2
jacob bridgeman,-1.3,1.45,1.31,0.16,2.93,1.63,3
jacob bridgeman,0.28,-1.19,-2.46,-0.54,-4.19,-3.91,4
sepp straka,-0.45,-0.35,1.52,0.93,2.1,1.65,1
sepp straka,-0.5,0.93,0.28,0.13,1.34,0.85,2
sepp straka,2.2,0.97,0.56,-2.11,-0.57,1.63,3
sepp straka,-2.68,-1.39,1.49,-1.34,-1.23,-3.91,4
nick taylor,0.73,0.57,2.17,0.17,2.92,3.65,1
nick taylor,-0.54,0.55,0.42,0.42,1.39,0.85,2
nick taylor,2.86,-1.1,-0.83,-0.29,-2.23,0.63,3
nick taylor,-1.97,-0.32,-1.92,-0.69,-2.93,-4.91,4
kristoffer reitan,3.19,2.09,-2.85,0.22,-0.54,2.65,1
kristoffer reitan,2.31,-0.04,1.27,1.29,2.53,4.85,2
kristoffer reitan,-1.86,0.52,-1.36,0.33,-0.51,-2.37,3
kristoffer reitan,-1.62,-1.89,-1.33,-0.07,-3.29,-4.91,4
sungjae im,-1.09,1.62,-3.73,1.85,-0.26,-1.35,1
sungjae im,3.94,0.91,-1.25,0.24,-0.09,3.85,2
sungjae im,-2.99,0.54,3.05,1.03,4.62,1.63,3
sungjae im,-0.93,-1.23,-2.35,-0.4,-3.98,-4.91,4
si woo kim,-1.81,0.41,0.95,0.1,1.46,-0.35,1
si woo kim,0.09,-0.69,0,0.45,-0.24,-0.15,2
si woo kim,-0.12,0.04,-1.56,0.27,-1.25,-1.37,3
si woo kim,1.43,0.24,-0.98,-0.6,-1.33,0.09,4
aaron rai,1.34,-0.03,1.56,0.78,2.31,3.65,1
aaron rai,-2.56,0.7,-0.18,0.88,1.41,-1.15,2
aaron rai,-4.17,0.39,-2.15,-1.44,-3.2,-7.37,3
aaron rai,-1.4,0.51,2.86,0.13,3.5,2.09,4
corey conners,1.04,2.7,-0.95,-3.13,-1.39,-0.35,1
corey conners,-2.48,0.07,2.41,-0.16,2.33,-0.15,2
corey conners,1.76,0.49,-0.97,-1.64,-2.13,-0.37,3
corey conners,-1.82,-0.26,0.36,-1.19,-1.09,-2.91,4
marco penge,-0.34,0.08,-0.89,-0.2,-1.01,-1.35,1
marco penge,2.9,1.28,-2.31,1.98,0.94,3.85,2
marco penge,-1.4,-0.02,0.7,0.35,1.03,-0.37,3
marco penge,2.62,-2.85,-4.41,-1.27,-8.52,-5.91,4
kurt kitayama,2.96,-2.39,5,0.07,2.69,5.65,1
kurt kitayama,-0.52,-5.22,-0.76,0.34,-5.63,-6.15,2
kurt kitayama,0.41,-1.83,-3.37,0.42,-4.78,-4.37,3
kurt kitayama,0.88,-0.07,-1.38,0.67,-0.79,0.09,4
sergio garcia,0.4,2.17,0.2,-0.12,2.25,2.65,1
sergio garcia,-1.03,0.66,-1.66,-0.11,-1.12,-2.15,2
sergio garcia,-0.54,-1.37,-1.35,-0.1,-2.83,-3.37,3
sergio garcia,-2.48,0.6,-0.04,-0.98,-0.42,-2.91,4
rasmus hojgaard,2.77,-0.79,-3.46,-1.87,-6.12,-3.35,1
rasmus hojgaard,-1.01,-0.54,3.4,1,3.86,2.85,2
rasmus hojgaard,1.06,-3.19,-0.67,0.44,-3.43,-2.37,3
rasmus hojgaard,-3.98,-0.92,-0.61,0.6,-0.93,-4.91,4
charl schwartzel,0.42,0.56,0.68,-2.02,-0.77,-0.35,1
charl schwartzel,0.26,0.34,0.16,-0.92,-0.41,-0.15,2
charl schwartzel,-1.51,0.29,-3.15,-1.99,-4.86,-6.37,3
charl schwartzel,1.58,-1.23,-1.18,-2.08,-4.48,-2.91,4
danny willett,2.91,-2.15,-0.91,-1.2,-4.26,-1.35,1
danny willett,1.44,-0.96,-0.33,-0.3,-1.6,-0.15,2
danny willett,0,0,0,0,0,0,3
danny willett,0,0,0,0,0,0,4
j.j. spaun,-1.35,0.61,1.6,-0.21,2,0.65,1
j.j. spaun,-0.68,-0.65,-0.71,-0.11,-1.48,-2.15,2
j.j. spaun,0,0,0,0,0,0,3
j.j. spaun,0,0,0,0,0,0,4
harry hall,-1.41,-3.22,2.34,-0.06,-0.94,-2.35,1
harry hall,1.7,1.64,-1.14,-1.35,-0.86,0.85,2
harry hall,0,0,0,0,0,0,3
harry hall,0,0,0,0,0,0,4
ryan fox,-1.01,-1.2,0.39,-0.54,-1.34,-2.35,1
ryan fox,-0.75,1.7,-0.69,0.59,1.59,0.85,2
ryan fox,0,0,0,0,0,0,3
ryan fox,0,0,0,0,0,0,4
akshay bhatia,3.04,-1,0.79,-1.18,-1.39,1.65,1
akshay bhatia,-0.5,-2.12,0.18,-1.72,-3.65,-4.15,2
akshay bhatia,0,0,0,0,0,0,3
akshay bhatia,0,0,0,0,0,0,4
bryson dechambeau,1.27,-1.66,-1.03,0.08,-2.62,-1.35,1
bryson dechambeau,-0.2,-2.17,-0.24,1.45,-0.95,-1.15,2
bryson dechambeau,0,0,0,0,0,0,3
bryson dechambeau,0,0,0,0,0,0,4
nicolai hojgaard,-1.2,0.51,-1.79,1.13,-0.15,-1.35,1
nicolai hojgaard,-1.58,-1.92,2.02,0.33,0.43,-1.15,2
nicolai hojgaard,0,0,0,0,0,0,3
nicolai hojgaard,0,0,0,0,0,0,4
