Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Scrambling,Rounds
michael thorbjornsen,0,0,0,0,0,0,0,4
paul mcclure,-3.19,0.54,-0.33,0.25,0.46,-2.74,0,1
paul mcclure,1.22,-3.05,-1.93,0.36,-4.61,-3.39,0,2
paul mcclure,0,0,0,0,0,0,0,3
paul mcclure,0,0,0,0,0,0,0,4
max homa,-0.82,-1.08,-1.8,0.96,-1.92,-2.74,0,1
max homa,-1.99,-0.13,-1.69,-0.58,-2.4,-4.39,0,2
max homa,0,0,0,0,0,0,0,3
max homa,0,0,0,0,0,0,0,4
jordan smith,-3.32,0.29,0.35,-0.06,0.58,-2.74,0,1
jordan smith,-3.76,-1.31,1.25,-0.57,-0.63,-4.39,0,2
jordan smith,0,0,0,0,0,0,0,3
jordan smith,0,0,0,0,0,0,0,4
marco penge,-2.04,-0.16,0.57,-1.1,-0.69,-2.74,0,1
marco penge,-2.67,-1.98,0.63,-0.37,-1.72,-4.39,0,2
marco penge,0,0,0,0,0,0,0,3
marco penge,0,0,0,0,0,0,0,4
adrien saddier,0.1,-1.33,-1.61,0.1,-2.84,-2.74,0,1
adrien saddier,-2.17,-1.06,-0.86,-0.3,-2.22,-4.39,0,2
adrien saddier,0,0,0,0,0,0,0,3
adrien saddier,0,0,0,0,0,0,0,4
ian holt,-2.2,1.03,-0.5,-0.06,0.47,-1.74,0,1
ian holt,0.64,-1.52,-3.42,-1.09,-6.03,-5.39,0,2
ian holt,0,0,0,0,0,0,0,3
ian holt,0,0,0,0,0,0,0,4
jared jones,-3.54,-1.24,-3.14,0.18,-4.2,-7.74,0,1
jared jones,-1.39,-0.88,0.57,0.3,0,-1.39,0,2
jared jones,0,0,0,0,0,0,0,3
jared jones,0,0,0,0,0,0,0,4
chris gabriele,-0.12,-1.19,-2.73,-0.69,-4.62,-4.74,0,1
chris gabriele,-0.21,-2.04,-1.47,-0.67,-4.18,-4.39,0,2
chris gabriele,0,0,0,0,0,0,0,3
chris gabriele,0,0,0,0,0,0,0,4
zach haynes,-1.66,0.56,-1.7,-0.94,-2.08,-3.74,0,1
zach haynes,0.8,-2.61,-2.72,-0.86,-6.19,-5.39,0,2
zach haynes,0,0,0,0,0,0,0,3
zach haynes,0,0,0,0,0,0,0,4
francisco bide,-2.84,0.38,-1.3,0.03,-0.9,-3.74,0,1
francisco bide,-2.01,-1.13,-2.02,-1.23,-4.38,-6.39,0,2
francisco bide,0,0,0,0,0,0,0,3
francisco bide,0,0,0,0,0,0,0,4
ryan lenahan,-1.28,0.62,-0.81,-1.27,-1.46,-2.74,0,1
ryan lenahan,-1.61,-0.77,-3.74,-1.28,-5.79,-7.39,0,2
ryan lenahan,0,0,0,0,0,0,0,3
ryan lenahan,0,0,0,0,0,0,0,4
timothy wiseman,-1.15,-0.81,-2.08,1.29,-1.59,-2.74,0,1
timothy wiseman,-2.27,-1.94,-1.84,-1.35,-5.12,-7.39,0,2
timothy wiseman,0,0,0,0,0,0,0,3
timothy wiseman,0,0,0,0,0,0,0,4
austin hurt,-0.74,-1.32,-3.73,-0.95,-6,-6.74,0,1
austin hurt,-0.55,-0.46,-2.12,-0.27,-2.84,-3.39,0,2
austin hurt,0,0,0,0,0,0,0,3
austin hurt,0,0,0,0,0,0,0,4
braden shattuck,-4.53,0.43,-2.19,-2.44,-4.2,-8.74,0,1
braden shattuck,2.68,-5.33,0.35,-0.09,-5.07,-2.39,0,2
braden shattuck,0,0,0,0,0,0,0,3
braden shattuck,0,0,0,0,0,0,0,4
derek berg,0.13,-1.29,-3.48,-1.1,-5.87,-5.74,0,1
derek berg,0.73,-0.28,-4.58,-1.27,-6.12,-5.39,0,2
derek berg,0,0,0,0,0,0,0,3
derek berg,0,0,0,0,0,0,0,4
ryan vermeer,-1.52,0.72,-1.28,-2.66,-3.21,-4.74,0,1
ryan vermeer,-3.37,0.23,-3.44,-0.82,-4.02,-7.39,0,2
ryan vermeer,0,0,0,0,0,0,0,3
ryan vermeer,0,0,0,0,0,0,0,4
jesse droemer,-0.73,0.13,-2.02,-2.11,-4,-4.74,0,1
jesse droemer,-5.01,-0.33,-2.55,-0.5,-3.38,-8.39,0,2
jesse droemer,0,0,0,0,0,0,0,3
jesse droemer,0,0,0,0,0,0,0,4
michael kartrude,-2.44,-0.75,-3.94,0.39,-4.3,-6.74,0,1
michael kartrude,-3.92,0.01,-1.77,-0.71,-2.47,-6.39,0,2
michael kartrude,0,0,0,0,0,0,0,3
michael kartrude,0,0,0,0,0,0,0,4
mark geddes,-2.61,-3.14,-1.03,-1.96,-6.13,-8.74,0,1
mark geddes,-1.05,-1.37,-4.47,-0.5,-6.34,-7.39,0,2
mark geddes,0,0,0,0,0,0,0,3
mark geddes,0,0,0,0,0,0,0,4
bryce fisher,0.2,-2.91,-2.32,-1.71,-6.94,-6.74,0,1
bryce fisher,-0.12,-4.07,-3.77,-2.43,-10.27,-10.39,0,2
bryce fisher,0,0,0,0,0,0,0,3
bryce fisher,0,0,0,0,0,0,0,4
