Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
michael kim,0.0,0.0,0,0,0.0,0.0,3,0.0
michael kim,0.0,0.0,0,0,0.0,0.0,4,0.0
j.j. spaun,-2.04,-1.31,0.66,-0.42,-1.07,-3.11,1,0.5
j.j. spaun,-0.83,1.46,-3.09,-0.1,-1.74,-2.57,2,0.6667
j.j. spaun,0.0,0.0,0,0,0.0,0.0,3,0.0
j.j. spaun,0.0,0.0,0,0,0.0,0.0,4,0.0
bud cauley,2.73,-0.17,-2.02,-1.64,-3.84,-1.11,1,0.5556
bud cauley,-2.71,-0.86,-1.23,0.24,-1.86,-4.57,2,0.4667
bud cauley,0.0,0.0,0,0,0.0,0.0,3,0.0
bud cauley,0.0,0.0,0,0,0.0,0.0,4,0.0
jason day,-1.22,1.05,-2.29,0.35,-0.89,-2.11,1,0.625
jason day,0.24,-0.89,-1.79,-2.13,-4.81,-4.57,2,0.5
jason day,0.0,0.0,0,0,0.0,0.0,3,0.0
jason day,0.0,0.0,0,0,0.0,0.0,4,0.0
garrick higgo,-2.16,-0.38,-1.11,-1.45,-2.95,-5.11,1,0.4444
garrick higgo,-2.9,-2.09,-1.64,0.07,-3.67,-6.57,2,0.4444
garrick higgo,0.0,0.0,0,0,0.0,0.0,3,0.0
garrick higgo,0.0,0.0,0,0,0.0,0.0,4,0.0
