Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
nicolas echavarria,0.84,-1.87,-0.66,-0.28,-2.81,-1.97,2,0.3333
nicolas echavarria,-1,-2.93,-2.11,-1.32,-6.36,-7.36,3,0.5556
nicolas echavarria,-0.51,0.48,1.09,0.05,1.62,1.11,4,1
harris english,-2.73,-0.61,1.38,-0.4,0.37,-2.36,1,0.4
harris english,-0.87,0.57,-2.05,1.38,-0.1,-0.97,2,0.6
harris english,-0.99,2.16,-1.65,0.13,0.63,-0.36,3,0.6
harris english,-0.36,0.15,-0.06,0.39,0.48,0.11,4,0.6
keith mitchell,-0.77,-0.93,-1.8,1.14,-1.59,-2.36,1,0.1429
keith mitchell,-0.87,1.25,-4.23,2.88,-0.1,-0.97,2,0.6667
keith mitchell,-2.06,-0.46,-0.43,-1.42,-2.3,-4.36,3,0.3333
keith mitchell,1.77,1.01,1.73,-0.4,2.34,4.11,4,1
jordan smith,-1.46,-0.72,1.01,-0.18,0.1,-1.36,1,0.75
jordan smith,-2.04,1.34,-0.79,-0.49,0.07,-1.97,2,0.5714
jordan smith,-1.08,0.03,-0.36,1.05,0.72,-0.36,3,0.5
jordan smith,0.53,0.17,-1.79,1.21,-0.41,0.11,4,0.75
ricky castillo,-2.35,-0.62,0.9,0.71,0.99,-1.36,1,0.5
ricky castillo,-2.42,0.08,1.42,0.95,2.45,0.03,2,0
ricky castillo,0.1,2.15,-1.76,-0.86,-0.47,-0.36,3,0.6667
ricky castillo,-1.71,-0.18,0.5,-0.5,-0.18,-1.89,4,0.25
jhonattan vegas,-1.19,-1.27,-0.69,-0.21,-2.17,-3.36,1,0.2
jhonattan vegas,-0.11,0.56,0.78,-0.2,1.14,1.03,2,0.3333
jhonattan vegas,2.32,-0.67,-1.21,-2.8,-4.68,-2.36,3,0.625
jhonattan vegas,0.07,-0.99,0.5,0.53,0.04,0.11,4,0.6667
austin smotherman,-0.83,-4.33,0.9,-1.1,-4.53,-5.36,1,0.5714
austin smotherman,-0.14,0.77,1.29,0.1,2.17,2.03,2,0.3333
austin smotherman,-2.87,-1.7,-1.45,1.65,-1.49,-4.36,3,0.2857
austin smotherman,1.12,-0.24,2.12,0.1,1.99,3.11,4,1
collin morikawa,-4.06,0.19,0.25,0.26,0.7,-3.36,1,0.6
collin morikawa,-0.82,1.21,-1.05,-0.31,-0.15,-0.97,2,0.428
collin morikawa,0.26,-1.03,2.07,0.33,1.37,1.64,3,0.6
collin morikawa,-2.26,2.21,-1.23,-1.61,-0.63,-2.89,4,0.6
tom hoge,0.59,-0.79,2.09,0.75,2.05,2.64,1,0.75
tom hoge,-1.29,0.71,-1.45,-0.94,-1.68,-2.97,2,0.2857
tom hoge,-1.24,-1.35,0.57,-0.35,-1.13,-2.36,3,0.1667
tom hoge,1.79,0.91,-3.72,-1.86,-4.67,-2.89,4,0.6667
joel dahmen,0.65,-1.22,-1.44,-1.35,-4.01,-3.36,1,0.3333
joel dahmen,1.27,-0.82,-2.92,0.5,-3.25,-1.97,2,0.2
joel dahmen,2.65,-0.67,0.46,-0.8,-1.01,1.64,3,0.625
joel dahmen,-0.78,-1.28,0.59,-0.43,-1.11,-1.89,4,0.5
justin rose,2.23,-2.65,-1.03,-0.91,-4.59,-2.36,1,0.5
justin rose,-0.29,0.17,-3.27,-0.57,-3.68,-3.97,2,0.5
justin rose,-3.85,0.02,1.55,0.92,2.49,-1.36,3,0.4
justin rose,0.93,-1.73,1.44,0.46,0.18,1.11,4,1
andrew novak,-1,2.54,-0.39,-0.51,1.64,0.64,1,0.625
andrew novak,-4.26,-0.01,-2.32,-0.38,-2.71,-6.97,2,0.2857
andrew novak,-0.66,0.51,1.86,-2.07,0.3,-0.36,3,0.5
andrew novak,0.07,1.25,-0.23,-0.97,0.04,0.11,4,0.75
sungjae im,-0.02,-0.13,1.12,0.66,1.66,1.64,1,0.6667
sungjae im,-1.86,-2.28,-1.44,-0.4,-4.12,-5.97,2,0.5556
sungjae im,2.44,1.66,-3.95,-1.52,-3.8,-1.36,3,0.5
sungjae im,-1.49,0.21,-0.61,1,0.6,-0.89,4,0.5
jacob bridgeman,-1.95,0.42,-3.3,-2.53,-5.41,-7.36,1,0.5455
jacob bridgeman,1.37,1.27,-1.01,-1.6,-1.34,0.03,2,0.625
jacob bridgeman,2.14,-0.59,2.39,-0.3,1.5,3.64,3,0.6667
jacob bridgeman,-0.37,-0.17,-0.52,-1.83,-2.52,-2.89,4,0.5714
patrick rodgers,1.02,0.68,-0.62,-0.45,-0.39,0.64,1,0.7143
patrick rodgers,-1.58,-2.16,-1.44,0.21,-3.39,-4.97,2,0.4286
patrick rodgers,2.46,-0.16,0.86,-0.53,0.18,2.64,3,0.8
patrick rodgers,1.01,-3.42,-2.63,0.15,-5.9,-4.89,4,0.75
ryo hisatsune,1.42,-0.2,-1.15,-0.42,-1.78,-0.36,1,0.4
ryo hisatsune,-2.25,-0.67,-0.98,-2.08,-3.72,-5.97,2,0.4286
ryo hisatsune,2.56,0.98,0.15,-1.04,0.08,2.64,3,0.6
ryo hisatsune,-2.45,-0.55,0.31,-0.2,-0.43,-2.89,4,0.3333
david lipsky,2.63,-1.62,-0.09,-0.28,-1.99,0.64,1,0.625
david lipsky,-1.24,-0.93,-1.93,0.13,-2.74,-3.97,2,0.6667
david lipsky,-1.25,-0.42,-0.29,-1.41,-2.12,-3.36,3,0.5714
david lipsky,-0.95,-1.57,0.76,-0.12,-0.94,-1.89,4,0.4
chandler blanchet,-2.51,-0.47,-1.1,0.72,-0.85,-3.36,1,0.4286
chandler blanchet,-0.84,0.77,0.1,-0.99,-0.13,-0.97,2,0.8333
chandler blanchet,-0.79,-1.13,0.96,0.6,0.42,-0.36,3,0.6
chandler blanchet,-2.12,-4.31,-0.23,-0.23,-4.77,-6.89,4,0.25
