Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
nicolas echavarria,-0.4,-1.05,0.39,-1.32,-1.98,-2.38,1,0.1667
nicolas echavarria,1.5,-0.5,-0.16,-0.99,-1.66,-0.16,2,0.5
nicolas echavarria,0.0,0.0,0,0,0.0,0.0,3,0.0
nicolas echavarria,0.0,0.0,0,0,0.0,0.0,4,0.0
mark hubbard,-0.39,0.48,0.12,-0.59,0.01,-0.38,1,0.75
mark hubbard,-0.93,-0.76,0.03,-0.5,-1.23,-2.16,2,0.75
mark hubbard,0.0,0.0,0,0,0.0,0.0,3,0.0
mark hubbard,0.0,0.0,0,0,0.0,0.0,4,0.0
k.h. lee,2.7,-0.83,0.64,-0.88,-1.07,1.62,1,0.7143
k.h. lee,-0.69,-2.4,-1.09,0.02,-3.47,-4.16,2,0.6667
k.h. lee,0.0,0.0,0,0,0.0,0.0,3,0.0
k.h. lee,0.0,0.0,0,0,0.0,0.0,4,0.0
aaron wise,0.76,0.57,-0.59,0.88,0.87,1.62,1,0.6
aaron wise,-1.61,-0.04,-1.73,-0.77,-2.55,-4.16,2,0.375
aaron wise,0.0,0.0,0,0,0.0,0.0,3,0.0
aaron wise,0.0,0.0,0,0,0.0,0.0,4,0.0
patrick fishburn,2.2,-0.49,-0.77,0.68,-0.58,1.62,1,0.625
patrick fishburn,-1.54,0.07,-0.64,-2.04,-2.61,-4.16,2,0.375
patrick fishburn,0.0,0.0,0,0,0.0,0.0,3,0.0
patrick fishburn,0.0,0.0,0,0,0.0,0.0,4,0.0
christo lamprecht,-3.29,-2.04,-2.46,2.42,-2.09,-5.38,1,0.5
christo lamprecht,-1.59,3.1,0.25,1.09,4.43,2.84,2,0.875
christo lamprecht,0.0,0.0,0,0,0.0,0.0,3,0.0
christo lamprecht,0.0,0.0,0,0,0.0,0.0,4,0.0
wyndham clark,-2.22,-1.14,0.45,-1.48,-2.16,-4.38,1,0.4444
wyndham clark,-1.07,-0.65,2.33,0.24,1.92,0.84,2,0.25
wyndham clark,0.0,0.0,0,0,0.0,0.0,3,0.0
wyndham clark,0.0,0.0,0,0,0.0,0.0,4,0.0
isaiah salinda,-0.56,-1.81,-0.93,0.92,-1.82,-2.38,1,0.5556
isaiah salinda,-1.16,-0.31,-0.78,1.1,0.01,-1.16,2,0.5
isaiah salinda,0.0,0.0,0,0,0.0,0.0,3,0.0
isaiah salinda,0.0,0.0,0,0,0.0,0.0,4,0.0
dylan wu,0.0,-0.68,-0.05,0.35,-0.38,-0.38,1,0.2857
dylan wu,-1.72,-0.38,-0.12,-0.93,-1.44,-3.16,2,0.3333
dylan wu,0.0,0.0,0,0,0.0,0.0,3,0.0
dylan wu,0.0,0.0,0,0,0.0,0.0,4,0.0
alejandro tosti,-0.61,-0.85,-1.81,0.89,-1.77,-2.38,1,0.4286
alejandro tosti,-2.06,1.19,-0.6,0.31,0.9,-1.16,2,0.4286
alejandro tosti,0.0,0.0,0,0,0.0,0.0,3,0.0
alejandro tosti,0.0,0.0,0,0,0.0,0.0,4,0.0
dan brown,1.25,0.75,-0.75,-0.62,-0.62,0.62,1,0.5
dan brown,-2.06,-0.92,-0.38,-0.79,-2.09,-4.16,2,0.6
dan brown,0.0,0.0,0,0,0.0,0.0,3,0.0
dan brown,0.0,0.0,0,0,0.0,0.0,4,0.0
a.j. ewart,-1.36,-1.02,-2.03,-0.98,-4.02,-5.38,1,0.4286
a.j. ewart,2.0,2.08,-1.5,-0.74,-0.16,1.84,2,0.8
a.j. ewart,0.0,0.0,0,0,0.0,0.0,3,0.0
a.j. ewart,0.0,0.0,0,0,0.0,0.0,4,0.0
davis chatfield,-0.1,-1.15,1.69,-0.81,-0.27,-0.38,1,0.6
davis chatfield,0.97,-0.72,-3.42,0.02,-4.12,-3.16,2,0.4444
davis chatfield,0.0,0.0,0,0,0.0,0.0,3,0.0
davis chatfield,0.0,0.0,0,0,0.0,0.0,4,0.0
david ford,-1.3,-1.71,-0.69,0.33,-2.08,-3.38,1,0.3333
david ford,-0.21,-0.05,-0.32,0.43,0.06,-0.16,2,0.6667
david ford,0.0,0.0,0,0,0.0,0.0,3,0.0
david ford,0.0,0.0,0,0,0.0,0.0,4,0.0
ryan fox,-0.71,-1.62,-0.42,0.38,-1.67,-2.38,1,0.5
