Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
taylor moore,0,0,0,0,0,0,4,0
haotong li,1.48,0.81,-0.72,1.23,1.32,2.8,1,0
haotong li,-2.31,-2.4,-0.02,0.1,-2.33,-4.64,2,0
haotong li,0,0,0,0,0,0,3,0
haotong li,0,0,0,0,0,0,4,0
dylan frittelli,-0.09,-0.07,-0.44,0.4,-0.11,-0.2,1,0
dylan frittelli,-2.04,0.53,0.23,-0.36,0.41,-1.64,2,0
dylan frittelli,0,0,0,0,0,0,3,0
dylan frittelli,0,0,0,0,0,0,4,0
brice garnett,-0.82,0.01,0.69,-2.08,-1.38,-2.2,1,0
brice garnett,-1.09,-0.98,1.49,0.95,1.45,0.36,2,0
brice garnett,0,0,0,0,0,0,3,0
brice garnett,0,0,0,0,0,0,4,0
hank lebioda,-0.82,0.11,-1.32,0.84,-0.38,-1.2,1,0
hank lebioda,-2.93,0.83,1.19,0.28,2.29,-0.64,2,0
hank lebioda,0,0,0,0,0,0,3,0
hank lebioda,0,0,0,0,0,0,4,0
dylan wu,1.19,-1.51,-2.4,0.52,-3.39,-2.2,1,0
dylan wu,-1.41,0.7,1.73,-0.66,1.77,0.36,2,0
dylan wu,0,0,0,0,0,0,3,0
dylan wu,0,0,0,0,0,0,4,0
luke clanton,0.81,-0.8,0.62,0.16,-0.01,0.8,1,0
luke clanton,0.68,0.3,-2.1,-1.52,-3.32,-2.64,2,0
luke clanton,0,0,0,0,0,0,3,0
luke clanton,0,0,0,0,0,0,4,0
kensei hirata,2.06,-0.2,-0.34,0.28,-0.26,1.8,1,0
kensei hirata,-1.89,-0.54,-1.31,0.1,-1.75,-3.64,2,0
kensei hirata,0,0,0,0,0,0,3,0
kensei hirata,0,0,0,0,0,0,4,0
paul peterson,-1.84,-0.84,0.33,0.15,-0.36,-2.2,1,0
paul peterson,-0.19,-0.36,1.88,-0.96,0.56,0.36,2,0
paul peterson,0,0,0,0,0,0,3,0
paul peterson,0,0,0,0,0,0,4,0
patrick adler,-0.73,0.65,0.99,-1.1,0.53,-0.2,1,0
patrick adler,-0.58,0.27,-1.82,0.49,-1.05,-1.64,2,0
patrick adler,0,0,0,0,0,0,3,0
patrick adler,0,0,0,0,0,0,4,0
martin laird,-0.52,-0.05,-2.34,0.71,-1.68,-2.2,1,0
martin laird,-1.56,1.04,0.02,-0.14,0.92,-0.64,2,0
martin laird,0,0,0,0,0,0,3,0
martin laird,0,0,0,0,0,0,4,0
denny mccarthy,0.27,-1.3,0.09,-0.25,-1.47,-1.2,1,0
denny mccarthy,0.73,-0.39,0.32,-2.31,-2.37,-1.64,2,0
denny mccarthy,0,0,0,0,0,0,3,0
denny mccarthy,0,0,0,0,0,0,4,0
aldrich potgieter,0.88,-1.66,-4.5,1.08,-5.08,-4.2,1,0
aldrich potgieter,-0.94,0.9,0.84,0.57,2.31,1.36,2,0
aldrich potgieter,0,0,0,0,0,0,3,0
aldrich potgieter,0,0,0,0,0,0,4,0
michael kim,0.19,0.22,-1.65,-0.96,-2.39,-2.2,1,0
michael kim,-1.04,-0.85,1.13,0.13,0.41,-0.64,2,0
michael kim,0,0,0,0,0,0,3,0
michael kim,0,0,0,0,0,0,4,0
brian campbell,-0.4,1.35,-0.25,-0.9,0.2,-0.2,1,0
brian campbell,0.36,-0.06,-2.3,-0.64,-3,-2.64,2,0
brian campbell,0,0,0,0,0,0,3,0
brian campbell,0,0,0,0,0,0,4,0
matthieu pavon,-1.98,-0.69,-0.09,0.55,-0.22,-2.2,1,0
matthieu pavon,0.7,1.52,-3.31,0.46,-1.33,-0.64,2,0
matthieu pavon,0,0,0,0,0,0,3,0
matthieu pavon,0,0,0,0,0,0,4,0
robert streb,-1.21,-0.43,2.22,-1.78,0.01,-1.2,1,0
robert streb,-0.7,2.12,-1.55,-1.5,-0.94,-1.64,2,0
robert streb,0,0,0,0,0,0,3,0
robert streb,0,0,0,0,0,0,4,0
vince whaley,1.08,-0.26,-3.31,-2.71,-6.28,-5.2,1,0
vince whaley,2.12,0.74,0.15,-0.64,0.24,2.36,2,0
vince whaley,0,0,0,0,0,0,3,0
vince whaley,0,0,0,0,0,0,4,0
ben martin,-2.3,-0.99,0.97,0.13,0.1,-2.2,1,0
ben martin,-1.53,2.02,-0.33,-0.8,0.9,-0.64,2,0
ben martin,0,0,0,0,0,0,3,0
ben martin,0,0,0,0,0,0,4,0
garrick higgo,-1.26,0.67,-0.62,0.01,0.06,-1.2,1,0
garrick higgo,1.65,-0.55,-2.16,-0.57,-3.28,-1.64,2,0
garrick higgo,0,0,0,0,0,0,3,0
garrick higgo,0,0,0,0,0,0,4,0
justin lower,-1.55,-0.17,-0.64,0.16,-0.65,-2.2,1,0
justin lower,-0.23,-0.8,-0.05,0.44,-0.41,-0.64,2,0
justin lower,0,0,0,0,0,0,3,0
justin lower,0,0,0,0,0,0,4,0
carson young,-2.27,-1.09,-0.7,0.86,-0.93,-3.2,1,0
carson young,0.56,0.14,-0.98,0.65,-0.2,0.36,2,0
carson young,0,0,0,0,0,0,3,0
carson young,0,0,0,0,0,0,4,0
kevin roy,0.73,-0.58,-0.6,1.25,0.07,0.8,1,0
kevin roy,-2.49,-1.27,-0.93,1.06,-1.15,-3.64,2,0
kevin roy,0,0,0,0,0,0,3,0
kevin roy,0,0,0,0,0,0,4,0
marcelo rozo,-0.48,-1.14,-0.64,0.06,-1.72,-2.2,1,0
marcelo rozo,2,-0.89,-2.14,0.4,-2.63,-0.64,2,0
marcelo rozo,0,0,0,0,0,0,3,0
marcelo rozo,0,0,0,0,0,0,4,0
andrew novak,-0.37,1.06,-2.65,-0.23,-1.83,-2.2,1,0
andrew novak,-2.7,0.46,-0.4,1,1.06,-1.64,2,0
andrew novak,0,0,0,0,0,0,3,0
andrew novak,0,0,0,0,0,0,4,0
taylor pendrith,1.24,0.81,1.33,-1.58,0.56,1.8,1,0
taylor pendrith,-3.51,1.32,-2.4,-1.05,-2.13,-5.64,2,0
taylor pendrith,0,0,0,0,0,0,3,0
taylor pendrith,0,0,0,0,0,0,4,0
patton kizzire,0.85,-0.36,-1.58,-0.11,-2.05,-1.2,1,0
patton kizzire,0.32,1.05,-3.05,-0.96,-2.96,-2.64,2,0
patton kizzire,0,0,0,0,0,0,3,0
patton kizzire,0,0,0,0,0,0,4,0
kris ventura,1.81,-0.3,-1.14,0.43,-1.01,0.8,1,0
kris ventura,-1.27,0.28,-4.99,1.35,-3.36,-4.64,2,0
kris ventura,0,0,0,0,0,0,3,0
kris ventura,0,0,0,0,0,0,4,0
noah goodwin,0.67,0.89,-0.41,0.65,1.13,1.8,1,0
noah goodwin,-3.04,0.18,-3.75,0.97,-2.59,-5.64,2,0
noah goodwin,0,0,0,0,0,0,3,0
noah goodwin,0,0,0,0,0,0,4,0
jackson koivun,-2.84,0.54,-1.34,0.44,-0.36,-3.2,1,0
jackson koivun,-0.43,-0.88,-0.45,1.12,-0.21,-0.64,2,0
jackson koivun,0,0,0,0,0,0,3,0
jackson koivun,0,0,0,0,0,0,4,0
adam hadwin,-1.38,-0.73,-0.93,-0.16,-1.82,-3.2,1,0
adam hadwin,-1.25,1.18,-2.31,0.74,-0.39,-1.64,2,0
adam hadwin,0,0,0,0,0,0,3,0
adam hadwin,0,0,0,0,0,0,4,0
cameron champ,-0.5,-0.88,-0.63,-0.19,-1.7,-2.2,1,0
cameron champ,0.22,1.22,-3.75,-0.33,-2.85,-2.64,2,0
cameron champ,0,0,0,0,0,0,3,0
cameron champ,0,0,0,0,0,0,4,0
adam schenk,-1.3,0.3,-0.21,0.01,0.1,-1.2,1,0
adam schenk,-2.18,0.97,-0.13,-2.29,-1.45,-3.64,2,0
adam schenk,0,0,0,0,0,0,3,0
adam schenk,0,0,0,0,0,0,4,0
luke list,-1.33,-0.25,-2.66,0.04,-2.87,-4.2,1,0
luke list,-0.45,-1.28,1.55,-0.45,-0.19,-0.64,2,0
luke list,0,0,0,0,0,0,3,0
luke list,0,0,0,0,0,0,4,0
ben silverman,-1.36,-1.55,-0.72,0.43,-1.84,-3.2,1,0
ben silverman,-1.63,0.07,-0.29,0.21,-0.01,-1.64,2,0
ben silverman,0,0,0,0,0,0,3,0
ben silverman,0,0,0,0,0,0,4,0
augusto nunez,-4.04,-0.32,-0.61,1.77,0.84,-3.2,1,0
augusto nunez,0.39,-2,-1.26,1.23,-2.03,-1.64,2,0
augusto nunez,0,0,0,0,0,0,3,0
augusto nunez,0,0,0,0,0,0,4,0
alejandro tosti,-1.48,-0.99,-1.41,-0.32,-2.72,-4.2,1,0
alejandro tosti,2.33,-0.59,-2.14,-0.24,-2.97,-0.64,2,0
alejandro tosti,0,0,0,0,0,0,3,0
alejandro tosti,0,0,0,0,0,0,4,0
john vanderlaan,-2.52,0.43,-0.67,-1.44,-1.68,-4.2,1,0
john vanderlaan,-1.04,0.48,-0.68,0.6,0.4,-0.64,2,0
john vanderlaan,0,0,0,0,0,0,3,0
john vanderlaan,0,0,0,0,0,0,4,0
chad ramey,0.84,1.63,-4.29,-1.38,-4.04,-3.2,1,0
chad ramey,-1.97,-2.85,1.37,-0.18,-1.67,-3.64,2,0
chad ramey,0,0,0,0,0,0,3,0
chad ramey,0,0,0,0,0,0,4,0
s.y. noh,-1.7,-0.01,-1.63,-0.86,-2.5,-4.2,1,0
s.y. noh,-4.31,0.88,-0.36,1.15,1.67,-2.64,2,0
s.y. noh,0,0,0,0,0,0,3,0
s.y. noh,0,0,0,0,0,0,4,0
thorbjorn olesen,-2.56,0.4,-0.85,-2.19,-2.64,-5.2,1,0
thorbjorn olesen,-4.27,0.4,1.57,0.67,2.64,-1.64,2,0
thorbjorn olesen,0,0,0,0,0,0,3,0
thorbjorn olesen,0,0,0,0,0,0,4,0
chandler blanchet,-0.28,-0.62,1.21,-0.52,0.07,-0.2,1,0
chandler blanchet,-2.94,-1.6,-1,-2.1,-4.7,-7.64,2,0
chandler blanchet,0,0,0,0,0,0,3,0
chandler blanchet,0,0,0,0,0,0,4,0
mason howell,-1.52,-0.34,-1.14,0.81,-0.68,-2.2,1,0
mason howell,-0.4,1.17,-4.36,-2.04,-5.24,-5.64,2,0
mason howell,0,0,0,0,0,0,3,0
