Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
jimmy stanger,2.46,0.04,-3.39,0.67,-2.68,-0.22,1,0.6
jimmy stanger,2.31,0.17,-2.78,-0.37,-2.98,-0.68,2,0.5
jimmy stanger,0.0,0.0,0,0,0.0,0.0,3,0.0
jimmy stanger,0.0,0.0,0,0,0.0,0.0,4,0.0
john vanderlaan,-0.43,-0.74,-3.04,0.99,-2.79,-3.22,1,0.6
john vanderlaan,0.57,1.57,0.98,-0.8,1.76,2.32,2,1.0
john vanderlaan,0.0,0.0,0,0,0.0,0.0,3,0.0
john vanderlaan,0.0,0.0,0,0,0.0,0.0,4,0.0
william mouw,-1.02,0.24,-0.16,-0.29,-0.2,-1.22,1,0.5714
william mouw,0.19,2.34,-2.43,0.23,0.13,0.32,2,0.6667
william mouw,0.0,0.0,0,0,0.0,0.0,3,0.0
william mouw,0.0,0.0,0,0,0.0,0.0,4,0.0
chandler blanchet,0.73,-0.53,0.76,-0.18,0.05,0.78,1,0.6667
chandler blanchet,-1.62,0.42,-1.69,1.2,-0.06,-1.68,2,0.5
chandler blanchet,0.0,0.0,0,0,0.0,0.0,3,0.0
chandler blanchet,0.0,0.0,0,0,0.0,0.0,4,0.0
davis chatfield,-1.15,-1.41,2.07,-0.73,-0.07,-1.22,1,0.6667
davis chatfield,0.78,0.79,-2.1,0.85,-0.46,0.32,2,0.7778
davis chatfield,0.0,0.0,0,0,0.0,0.0,3,0.0
davis chatfield,0.0,0.0,0,0,0.0,0.0,4,0.0
seamus power,0.05,-1.21,1.02,-0.07,-0.27,-0.22,1,0.7143
seamus power,-1.5,-0.2,1.25,-1.23,-0.18,-1.68,2,0.5
seamus power,0.0,0.0,0,0,0.0,0.0,3,0.0
seamus power,0.0,0.0,0,0,0.0,0.0,4,0.0
brendon todd,1.14,0.52,-2.41,-0.47,-2.36,-1.22,1,0.9
brendon todd,2.16,0.56,-2.67,-0.73,-2.84,-0.68,2,0.8
brendon todd,0.0,0.0,0,0,0.0,0.0,3,0.0
brendon todd,0.0,0.0,0,0,0.0,0.0,4,0.0
tom kim,-1.18,-0.63,-0.82,-0.58,-2.04,-3.22,1,0.5
tom kim,0.86,0.11,-0.73,1.07,0.46,1.32,2,0.4286
tom kim,0.0,0.0,0,0,0.0,0.0,3,0.0
tom kim,0.0,0.0,0,0,0.0,0.0,4,0.0
mackenzie hughes,0.32,1.07,-2.66,-0.96,-2.54,-2.22,1,0.5
mackenzie hughes,1.87,1.62,-1.89,-1.28,-1.55,0.32,2,0.8
mackenzie hughes,0.0,0.0,0,0,0.0,0.0,3,0.0
mackenzie hughes,0.0,0.0,0,0,0.0,0.0,4,0.0
sepp straka,0.72,-0.77,-0.74,-0.44,-1.94,-1.22,1,0.8889
sepp straka,1.45,-0.69,-1.26,-0.18,-2.13,-0.68,2,0.7778
sepp straka,0.0,0.0,0,0,0.0,0.0,3,0.0
sepp straka,0.0,0.0,0,0,0.0,0.0,4,0.0
haotong li,-1.76,-0.09,0.7,-0.06,0.55,-1.22,1,0.8
haotong li,0.41,-1.67,-0.12,0.7,-1.08,-0.68,2,0.4
haotong li,0.0,0.0,0,0,0.0,0.0,3,0.0
haotong li,0.0,0.0,0,0,0.0,0.0,4,0.0
charley hoffman,-0.62,-1.15,0.39,1.16,0.4,-0.22,1,0.8333
charley hoffman,-0.14,-0.53,-0.67,-0.34,-1.53,-1.68,2,0.5556
charley hoffman,0.0,0.0,0,0,0.0,0.0,3,0.0
charley hoffman,0.0,0.0,0,0,0.0,0.0,4,0.0
dylan wu,-1.71,-0.54,3.53,-1.5,1.49,-0.22,1,0.75
dylan wu,0.47,-0.98,-1.73,0.56,-2.15,-1.68,2,0.5556
dylan wu,0.0,0.0,0,0,0.0,0.0,3,0.0
dylan wu,0.0,0.0,0,0,0.0,0.0,4,0.0
jordan smith,-3.75,-0.98,-0.03,-0.45,-1.47,-5.22,1,0.3333
jordan smith,0.4,-0.48,3.2,0.19,2.92,3.32,2,0.6667
jordan smith,0.0,0.0,0,0,0.0,0.0,3,0.0
jordan smith,0.0,0.0,0,0,0.0,0.0,4,0.0
carson young,-1.44,-0.2,1.49,-0.06,1.23,-0.22,1,0.6
carson young,1.38,0.48,-1.07,-2.46,-3.06,-1.68,2,0.7
carson young,0.0,0.0,0,0,0.0,0.0,3,0.0
carson young,0.0,0.0,0,0,0.0,0.0,4,0.0
justin lower,-2.37,0.6,-2.25,0.8,-0.85,-3.22,1,0.5556
justin lower,0.43,-1.72,1.6,1,0.89,1.32,2,0.5
justin lower,0.0,0.0,0,0,0.0,0.0,3,0.0
justin lower,0.0,0.0,0,0,0.0,0.0,4,0.0
marcelo rozo,-0.32,-2.8,-0.79,0.69,-2.9,-3.22,1,0.5
marcelo rozo,-1.92,0.81,3.06,-0.62,3.24,1.32,2,0.6667
marcelo rozo,0.0,0.0,0,0,0.0,0.0,3,0.0
marcelo rozo,0.0,0.0,0,0,0.0,0.0,4,0.0
charlie crockett,-1.56,0.27,-1.55,-0.39,-1.66,-3.22,1,0.4
charlie crockett,0.07,-0.96,0.88,1.33,1.26,1.32,2,0.3333
charlie crockett,0.0,0.0,0,0,0.0,0.0,3,0.0
charlie crockett,0.0,0.0,0,0,0.0,0.0,4,0.0
michael thorbjornsen,0.52,-1.48,1.02,0.72,0.26,0.78,1,0.3333
michael thorbjornsen,-0.77,-0.88,-1.64,0.61,-1.91,-2.68,2,0.5
michael thorbjornsen,0.0,0.0,0,0,0.0,0.0,3,0.0
michael thorbjornsen,0.0,0.0,0,0,0.0,0.0,4,0.0
kris ventura,-3.21,-2.01,2.34,0.66,0.99,-2.22,1,0.6
kris ventura,-1.8,0.37,0.33,1.42,2.13,0.32,2,0.5
kris ventura,0.0,0.0,0,0,0.0,0.0,3,0.0
kris ventura,0.0,0.0,0,0,0.0,0.0,4,0.0
neal shipley,-1.43,-1.35,1.16,0.41,0.21,-1.22,1,0.8
neal shipley,0.17,-1.3,-0.38,0.84,-0.84,-0.68,2,0.75
neal shipley,0.0,0.0,0,0,0.0,0.0,3,0.0
neal shipley,0.0,0.0,0,0,0.0,0.0,4,0.0
dan brown,1.18,-1.05,0.01,0.64,-0.4,0.78,1,0.625
dan brown,-0.7,-1.82,-0.45,0.29,-1.97,-2.68,2,0.5714
dan brown,0.0,0.0,0,0,0.0,0.0,3,0.0
dan brown,0.0,0.0,0,0,0.0,0.0,4,0.625
emiliano grillo,-1.47,0.09,1.18,-0.02,1.25,-0.22,1,0.6667
emiliano grillo,-1.89,1.05,-1.49,-0.35,-0.79,-2.68,2,0.5714
emiliano grillo,0.0,0.0,0,0,0.0,0.0,3,0.0
emiliano grillo,0.0,0.0,0,0,0.0,0.0,4,0.0
rickie fowler,-0.89,0.14,0.86,0.68,1.68,0.78,1,0.4
rickie fowler,-1.04,-0.84,-0.75,-1.05,-2.64,-3.68,2,0.6
rickie fowler,0.0,0.0,0,0,0.0,0.0,3,0.0
rickie fowler,0.0,0.0,0,0,0.0,0.0,4,0.0
matt kuchar,-1.47,0.37,-0.92,-0.2,-0.75,-2.22,1,0.5714
matt kuchar,2.44,0.61,-2.38,-1.35,-3.12,-0.68,2,0.9167
matt kuchar,0.0,0.0,0,0,0.0,0.0,3,0.0
matt kuchar,0.0,0.0,0,0,0.0,0.0,4,0.0
camilo villegas,0.33,1.64,-1.79,-0.39,-0.55,-0.22,1,0.9091
camilo villegas,-3.5,0.04,2.39,-1.61,0.82,-2.68,2,0.5
camilo villegas,0.0,0.0,0,0,0.0,0.0,3,0.0
camilo villegas,0.0,0.0,0,0,0.0,0.0,4,0.0
lanto griffin,-0.06,0.5,-0.58,0.91,0.84,0.78,1,0.4444
lanto griffin,-1.46,1.59,-2.65,-1.16,-2.22,-3.68,2,0.7692
lanto griffin,0.0,0.0,0,0,0.0,0.0,3,0.0
lanto griffin,0.0,0.0,0,0,0.0,0.0,4,0.0
nick hardy,-0.34,0.7,-1.47,-1.11,-1.88,-2.22,1,0.6
nick hardy,-0.32,0.6,-0.77,-0.19,-0.35,-0.68,2,0.75
nick hardy,0.0,0.0,0,0,0.0,0.0,3,0.0
nick hardy,0.0,0.0,0,0,0.0,0.0,4,0.0
nick dunlap,-1.11,-0.6,-0.32,-1.19,-2.11,-3.22,1,0.5556
nick dunlap,-1.75,-0.22,1.6,-0.31,1.07,-0.68,2,0.5
nick dunlap,0.0,0.0,0,0,0.0,0.0,3,0.0
nick dunlap,0.0,0.0,0,0,0.0,0.0,4,0.0
jhonattan vegas,-0.66,-1.02,-0.42,-0.11,-1.56,-2.22,1,0.8571
jhonattan vegas,-1.82,-0.13,0.2,0.06,0.14,-1.68,2,0.75
jhonattan vegas,0.0,0.0,0,0,0.0,0.0,3,0.0
jhonattan vegas,0.0,0.0,0,0,0.0,0.0,4,0.0
garrick higgo,0.61,0.56,0.7,-3.09,-1.83,-1.22,1,0.6667
garrick higgo,-1.09,0.01,-3.26,1.66,-1.58,-2.68,2,0.75
garrick higgo,0.0,0.0,0,0,0.0,0.0,3,0.0
garrick higgo,0.0,0.0,0,0,0.0,0.0,4,0.0
jimmy walker,1.28,1.04,-1.08,0.53,0.5,1.78,1,0.875
jimmy walker,-3.6,-0.54,-0.14,-1.4,-2.08,-5.68,2,0.4
jimmy walker,0.0,0.0,0,0,0.0,0.0,3,0.0
jimmy walker,0.0,0.0,0,0,0.0,0.0,4,0.0
ryan palmer,-0.34,-1.37,-0.22,-2.29,-3.88,-4.22,1,0.4444
ryan palmer,0.01,1.59,-3.19,0.92,-0.68,-0.68,2,0.7
ryan palmer,0.0,0.0,0,0,0.0,0.0,3,0.0
ryan palmer,0.0,0.0,0,0,0.0,0.0,4,0.0
patton kizzire,-0.21,-0.75,-0.78,-0.47,-2.01,-2.22,1,0.625
patton kizzire,-1.14,-2.12,1.55,-0.96,-1.54,-2.68,2,0.5
patton kizzire,0.0,0.0,0,0,0.0,0.0,3,0.0
patton kizzire,0.0,0.0,0,0,0.0,0.0,4,0.0
john keefer,-5.12,0.3,0.07,-0.48,-0.1,-5.22,1,0.2857
john keefer,-0.11,-0.2,0.04,0.6,0.44,0.32,2,0.6
john keefer,0.0,0.0,0,0,0.0,0.0,3,0.0
john keefer,0.0,0.0,0,0,0.0,0.0,4,0.0
adrien saddier,-2.17,0.69,-0.23,-2.51,-2.05,-4.22,1,0.5
adrien saddier,-1.62,-0.95,1.22,0.67,0.94,-0.68,2,0.5
adrien saddier,0.0,0.0,0,0,0.0,0.0,3,0.0
adrien saddier,0.0,0.0,0,0,0.0,0.0,4,0.0
rafael campos,-2.88,-0.31,1.86,0.1,1.66,-1.22,1,0.3333
rafael campos,-3.94,-0.27,1.4,-0.86,0.26,-3.68,2,0.5714
rafael campos,0.0,0.0,0,0,0.0,0.0,3,0.0
rafael campos,0.0,0.0,0,0,0.0,0.0,4,0.0
matthieu pavon,-1.25,-0.32,-2.08,0.43,-1.97,-3.22,1,0.5714
matthieu pavon,-1.23,-0.62,-1.56,0.73,-1.45,-2.68,2,0.6364
matthieu pavon,0.0,0.0,0,0,0.0,0.0,3,0.0
matthieu pavon,0.0,0.0,0,0,0.0,0.0,4,0.0
joel dahmen,-1.15,-0.59,-0.15,-0.33,-1.07,-2.22,1,0.8571
joel dahmen,-1.24,-1.66,-1.31,0.52,-2.44,-3.68,2,0.5556
joel dahmen,0.0,0.0,0,0,0.0,0.0,3,0.0
joel dahmen,0.0,0.0,0,0,0.0,0.0,4,0.0
zecheng dou,-2.15,0.76,-0.44,-1.39,-1.07,-3.22,1,0.3333
zecheng dou,-1.91,1.08,0.6,-2.45,-0.77,-2.68,2,0.5
zecheng dou,0.0,0.0,0,0,0.0,0.0,3,0.0
zecheng dou,0.0,0.0,0,0,0.0,0.0,4,0.0
jackson suber,-2.01,-1.34,-3.49,0.63,-4.21,-6.22,1,0.5455
jackson suber,0.81,-1.06,-0.23,0.8,-0.48,0.32,2,0.5714
jackson suber,0.0,0.0,0,0,0.0,0.0,3,0.0
jackson suber,0.0,0.0,0,0,0.0,0.0,4,0.0
patrick fishburn,-0.85,1.01,-1.53,1.16,0.63,-0.22,1,0.6
patrick fishburn,-2.5,-3.48,-1.05,1.35,-3.17,-5.68,2,0.0
patrick fishburn,0.0,0.0,0,0,0.0,0.0,3,0.0
patrick fishburn,0.0,0.0,0,0,0.0,0.0,4,0.0
chan kim,-0.2,0.63,-0.25,-1.4,-1.02,-1.22,1,0.7143
chan kim,-0.11,-1.1,-1.4,-3.07,-5.57,-5.68,2,0.4444
chan kim,0.0,0.0,0,0,0.0,0.0,3,0.0
chan kim,0.0,0.0,0,0,0.0,0.0,4,0.0
jesper svensson,1.67,-1.38,-2.31,-0.2,-3.89,-2.22,1,0.6364
jesper svensson,-1.92,-2.18,-1.25,-0.33,-3.76,-5.68,2,0.3636
jesper svensson,0.0,0.0,0,0,0.0,0.0,3,0.0
jesper svensson,0.0,0.0,0,0,0.0,0.0,4,0.0
frankie capan iii,-0.96,0.3,-2.05,-0.52,-2.26,-3.22,1,0.5
frankie capan iii,0.46,-0.09,-3.78,-1.27,-5.14,-4.68,2,0.6
frankie capan iii,0.0,0.0,0,0,0.0,0.0,3,0.0
frankie capan iii,0.0,0.0,0,0,0.0,0.0,4,0.0
brice garnett,-0.32,-1.63,-1.54,-0.72,-3.9,-4.22,1,0.75
brice garnett,-3.43,-0.59,0.44,-1.09,-1.24,-4.68,2,0.25
brice garnett,0.0,0.0,0,0,0.0,0.0,3,0.0
brice garnett,0.0,0.0,0,0,0.0,0.0,4,0.0
austin wylie,-1.85,-2.12,-0.77,-2.48,-5.37,-7.22,1,0.5714
austin wylie,2.18,-0.89,-3.84,-0.12,-4.86,-2.68,2,0.6
austin wylie,0.0,0.0,0,0,0.0,0.0,3,0.0
austin wylie,0.0,0.0,0,0,0.0,0.0,4,0.0
patrick rodgers,-3.3,-0.21,-0.03,-2.69,-2.92,-6.22,1,0.3333
patrick rodgers,-3.16,0.57,0.27,-2.35,-1.52,-4.68,2,0.5556
patrick rodgers,0.0,0.0,0,0,0.0,0.0,3,0.0
patrick rodgers,0.0,0.0,0,0,0.0,0.0,4,0.0
k.h. lee,-1.69,1.85,-4.3,-2.08,-4.53,-6.22,1,0.4167
k.h. lee,-2.4,-1.02,-2.73,0.47,-3.28,-5.68,2,0.4444
k.h. lee,0.0,0.0,0,0,0.0,0.0,3,0.0
k.h. lee,0.0,0.0,0,0,0.0,0.0,4,0.0
lucas glover,-0.37,-0.24,0.79,-1.4,-0.84,-1.22,1,1.0
lucas glover,0.0,0.0,0,0,0.0,0.0,2,0.0
lucas glover,0.0,0.0,0,0,0.0,0.0,3,0.0
lucas glover,0.0,0.0,0,0,0.0,0.0,4,0.0
webb simpson,-0.36,0.51,-2.07,-0.3,-1.86,-2.22,1,0.75
webb simpson,0.0,0.0,0,0,0.0,0.0,2,0.0
webb simpson,0.0,0.0,0,0,0.0,0.0,3,0.0
webb simpson,0.0,0.0,0,0,0.0,0.0,4,0.0
