Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
pierceson coody,0.26,0.3,1.37,0.43,2.1,2.36,2,0.5
pierceson coody,0.0,0.0,0,0,0.0,0.0,3,0.0
pierceson coody,0.0,0.0,0,0,0.0,0.0,4,0.0
justin rose,0.91,-0.94,2.63,-0.79,0.9,1.81,1,0.8
justin rose,-4.69,-0.87,0.9,-2.98,-2.95,-7.64,2,0.125
justin rose,0.0,0.0,0,0,0.0,0.0,3,0.0
justin rose,0.0,0.0,0,0,0.0,0.0,4,0.0
sam stevens,-0.33,0.94,-4.17,1.37,-1.86,-2.19,1,0.4444
sam stevens,-0.81,-0.84,-1.05,-0.94,-2.83,-3.64,2,0.4167
sam stevens,0.0,0.0,0,0,0.0,0.0,3,0.0
sam stevens,0.0,0.0,0,0,0.0,0.0,4,0.0
aldrich potgieter,-4.74,-1.02,-3.39,1.96,-2.45,-7.19,1,0.2857
aldrich potgieter,-1.82,-0.56,-0.28,-0.98,-1.82,-3.64,2,0.1667
aldrich potgieter,0.0,0.0,0,0,0.0,0.0,3,0.0
aldrich potgieter,0.0,0.0,0,0,0.0,0.0,4,0.0
j.t. poston,-0.49,-0.97,-1.4,-0.33,-2.7,-3.19,1,0.4286
j.t. poston,-0.9,-2.88,-4.5,-0.36,-7.74,-8.64,2,0.3
j.t. poston,0.0,0.0,0,0,0.0,0.0,3,0.0
j.t. poston,0.0,0.0,0,0,0.0,0.0,4,0.0
justin thomas,-3.97,1.42,-2.76,-1.88,-3.22,-7.19,1,0.4
justin thomas,-2.31,2.66,-2.41,-4.58,-4.33,-6.64,2,0.4
justin thomas,0.0,0.0,0,0,0.0,0.0,3,0.0
justin thomas,0.0,0.0,0,0,0.0,0.0,4,0.0
rory mcilroy,0.42,0.8,-2.9,1.49,-0.61,-0.19,1,0.4286
rory mcilroy,1.74,0.11,0.94,1.57,2.62,4.36,2,0.8333
rory mcilroy,0.0,0.0,0,0,0.0,0.0,3,0.0
rory mcilroy,0.0,0.0,0,0,0.0,0.0,4,0.0
austin smotherman,-1.83,-0.2,-0.55,0.38,-0.37,-2.19,1,0.5
austin smotherman,0.09,-1.06,1.63,0.7,1.27,1.36,2,0.8333
austin smotherman,0.0,0.0,0,0,0.0,0.0,3,0.0
austin smotherman,0.0,0.0,0,0,0.0,0.0,4,0.0
