Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
tom kim,1.7,0.09,-1.09,0.35,2.05,3,0.625
tom kim,-2.84,0.53,-1.27,1.54,-1.3,4,0.5
lee hodges,1.12,0.51,-0.59,-1.36,-0.24,1,0.625
lee hodges,-2.44,0.33,1.98,4.14,1.69,2,0.7143
lee hodges,1.03,-1.44,0.03,1.02,2.05,3,0.3333
lee hodges,0.85,0.61,0.43,0.86,1.7,4,0.8182
webb simpson,3.95,-0.1,0,-0.19,3.76,1,0.6667
webb simpson,-0.91,-0.35,-0.43,-1.39,-2.31,2,0.625
webb simpson,-0.1,0.71,1.38,1.15,1.05,3,0.5714
webb simpson,-0.12,0.97,0.07,2.82,2.7,4,0.5714
brandt snedeker,5.09,-0.04,-0.24,1.67,6.76,1,1.0
brandt snedeker,-1.47,2.21,-1.45,1.16,-0.31,2,0.4444
brandt snedeker,4.98,1.3,-0.35,-0.93,4.05,3,1.0
brandt snedeker,-2.61,0.6,0.18,-2.69,-5.3,4,0.5
danny walker,-0.46,-0.04,-1.74,-1.78,-2.24,1,0.4444
danny walker,5.27,0.73,1.45,2.42,7.69,2,1.0
danny walker,2.05,-1.01,-0.15,-2.99,-0.95,3,0.2857
danny walker,-0.32,-0.4,-1.36,1.03,0.7,4,0.375
chandler blanchet,-0.67,-1,0.74,3.43,2.76,1,0.6667
chandler blanchet,4.68,0.22,0.91,1.02,5.69,2,0.8
chandler blanchet,0.2,0.21,-0.94,-2.14,-1.95,3,0.375
chandler blanchet,-0.87,1.05,0.79,-0.42,-1.3,4,0.75
denny mccarthy,-2.06,0.4,0.42,3.83,1.76,1,0.7143
denny mccarthy,1.06,-1.19,0.51,-1.37,-0.31,2,0.8182
denny mccarthy,1.55,-1.07,-0.77,-0.49,1.05,3,0.7778
denny mccarthy,1.48,1.1,-1.25,0.22,1.7,4,0.625
dylan wu,-1.2,-0.27,-0.24,0.96,-0.24,1,0.7143
dylan wu,-1.42,1.44,1.4,2.11,0.69,2,0.8571
dylan wu,0.65,0.59,0.73,2.41,3.05,3,1.0
dylan wu,1.69,0.89,-0.53,-0.99,0.7,4,0.625
rico hoey,-0.37,0.4,1.52,1.13,0.76,1,0.5
rico hoey,1.23,1.78,-0.29,2.46,3.69,2,0.8889
rico hoey,-0.49,1.32,0.76,1.55,1.05,3,0.6667
rico hoey,-2.13,-0.69,1.04,0.83,-1.3,4,0.4286
adrien dumont de chassart,0.1,3.81,-0.57,2.66,2.76,1,0.7273
adrien dumont de chassart,0.04,0.46,0.15,0.65,0.69,2,0.75
adrien dumont de chassart,1.64,3.47,0.47,2.42,4.05,3,1.0
adrien dumont de chassart,-2.1,1.02,-2.09,-1.2,-3.3,4,0.5714
justin thomas,0.95,-0.55,0.22,-1.19,-0.24,1,0.5556
justin thomas,0.88,1.23,2.03,1.81,2.69,2,0.8571
justin thomas,-2.62,0.66,0.03,0.68,-1.95,3,0.5556
justin thomas,2.57,-0.62,0.39,0.13,2.7,4,1.0
