Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds
matt fitzpatrick,3.65,-1.22,0.59,-1.76,-2.39,1.26,3
matt fitzpatrick,-3.17,0.5,-0.17,-0.73,-0.4,-3.56,4
matthew mccarty,-0.53,-0.6,-1.73,-0.34,-2.66,-3.19,1
matthew mccarty,-0.21,0.94,1.2,0.43,2.57,2.36,2
matthew mccarty,2.29,-1.67,-0.48,0.12,-2.03,0.26,3
matthew mccarty,2.03,0.1,-2.98,-0.71,-3.59,-1.56,4
nicolas echavarria,0.11,-1.1,-0.14,0.94,-0.3,-0.19,1
nicolas echavarria,-0.56,-1.04,-0.1,0.06,-1.08,-1.64,2
nicolas echavarria,1.39,-1.59,-0.97,1.43,-1.13,0.26,3
nicolas echavarria,1.42,-2.04,-1.52,0.59,-2.98,-1.56,4
taylor moore,1.37,0.63,-0.49,-0.71,-0.56,0.81,1
taylor moore,1.53,-0.93,-3.92,1.68,-3.17,-1.64,2
taylor moore,-0.97,-1.31,0.05,1.49,0.23,-0.74,3
taylor moore,-0.13,-0.63,-1.35,0.55,-1.43,-1.56,4
andrew putnam,-0.77,0.82,0.36,-1.6,-0.42,-1.19,1
andrew putnam,0.18,0.95,0.63,-0.4,1.18,1.36,2
andrew putnam,-0.81,0.02,0.41,-1.36,-0.93,-1.74,3
andrew putnam,-0.85,-0.47,1.26,-1.49,-0.71,-1.56,4
chris kirk,-0.27,0.04,-2.53,1.57,-0.92,-1.19,1
chris kirk,1.59,-0.74,-0.86,0.37,-1.23,0.36,2
chris kirk,-0.32,-1.37,-2.48,0.42,-3.42,-3.74,3
chris kirk,-2.37,0.32,0.49,0,0.81,-1.56,4
daniel bennett,2.45,-1.56,2,-2.08,-1.64,0.81,1
daniel bennett,0.13,0.19,0.99,0.04,1.23,1.36,2
daniel bennett,-0.53,0.27,-1.21,-4.27,-5.21,-5.74,3
daniel bennett,-1.4,-1.88,-0.39,1.11,-1.16,-2.56,4
tommy fleetwood,-3.05,0.6,-0.9,-0.85,-1.15,-4.19,1
tommy fleetwood,0.38,1.57,1.07,0.34,2.98,3.36,2
tommy fleetwood,-0.74,-1.01,-2.06,-0.93,-4,-4.74,3
tommy fleetwood,-1.93,0.78,-0.38,-0.03,0.37,-1.56,4
brian harman,-0.35,-0.57,0.35,-0.63,-0.85,-1.19,1
brian harman,-0.9,2.15,0.52,-2.4,0.26,-0.64,2
brian harman,-2.59,-0.74,-0.95,-2.46,-4.15,-6.74,3
brian harman,0.35,-1.42,-1,-0.48,-2.91,-2.56,4
ben griffin,1.61,1.31,-2.57,-0.55,-1.8,-0.19,1
ben griffin,-0.62,-0.28,-0.4,-1.34,-2.02,-2.64,2
ben griffin,0,0,0,0,0,0,3
ben griffin,0,0,0,0,0,0,4
ryan gerard,-2.58,-2.77,1.21,-1.05,-2.62,-5.19,1
ryan gerard,1.8,-0.61,1.23,-0.06,0.56,2.36,2
ryan gerard,0,0,0,0,0,0,3
ryan gerard,0,0,0,0,0,0,4
shane lowry,-3.27,1.01,0.01,0.05,1.08,-2.19,1
shane lowry,0.78,0.87,-2.3,0,-1.42,-0.64,2
shane lowry,0,0,0,0,0,0,3
shane lowry,0,0,0,0,0,0,4
tom hoge,-0.1,-0.39,-0.39,-1.32,-2.09,-2.19,1
tom hoge,0.13,-1.48,2.46,-1.75,-0.77,-0.64,2
tom hoge,0,0,0,0,0,0,3
tom hoge,0,0,0,0,0,0,4
brian campbell,0.87,0.54,1.14,-1.74,-0.06,0.81,1
brian campbell,-1.52,-0.96,-0.48,-0.68,-2.12,-3.64,2
brian campbell,0,0,0,0,0,0,3
brian campbell,0,0,0,0,0,0,4
joel dahmen,-2.06,-2.34,1.03,0.18,-1.14,-3.19,1
joel dahmen,-1.07,-0.5,1.25,0.68,1.43,0.36,2
joel dahmen,0,0,0,0,0,0,3
joel dahmen,0,0,0,0,0,0,4
haotong li,-0.09,-3.3,-2.28,0.48,-5.1,-5.19,1
haotong li,0.71,-0.78,2.44,-0.01,1.65,2.36,2
haotong li,0,0,0,0,0,0,3
haotong li,0,0,0,0,0,0,4
jason day,-0.96,-0.35,-1.34,0.46,-1.23,-2.19,1
jason day,-0.57,0.92,-1.61,-0.38,-1.06,-1.64,2
jason day,0,0,0,0,0,0,3
jason day,0,0,0,0,0,0,4
patrick cantlay,1.02,0.12,-0.76,0.43,-0.21,0.81,1
patrick cantlay,-3.71,-0.67,-1.64,1.38,-0.93,-4.64,2
patrick cantlay,0,0,0,0,0,0,3
patrick cantlay,0,0,0,0,0,0,4
sungjae im,2.33,-0.94,-4.67,-0.91,-6.52,-4.19,1
sungjae im,-1.18,0.68,0.15,0.7,1.54,0.36,2
sungjae im,0,0,0,0,0,0,3
sungjae im,0,0,0,0,0,0,4
sam burns,-1.81,0.33,-1.24,0.53,-0.38,-2.19,1
sam burns,1.24,0.4,-3.11,-0.17,-2.87,-1.64,2
sam burns,0,0,0,0,0,0,3
sam burns,0,0,0,0,0,0,4
denny mccarthy,-1.49,0.42,0.75,0.13,1.3,-0.19,1
denny mccarthy,-1.17,0.27,-3.28,-0.46,-3.47,-4.64,2
denny mccarthy,0,0,0,0,0,0,3
denny mccarthy,0,0,0,0,0,0,4
keegan bradley,-1.04,-0.3,1.14,1.02,1.85,0.81,1
keegan bradley,-2.82,-0.2,-1.44,-1.18,-2.82,-5.64,2
keegan bradley,0,0,0,0,0,0,3
keegan bradley,0,0,0,0,0,0,4
pierceson coody,-0.41,-3.8,-2.44,-0.54,-6.79,-7.19,1
pierceson coody,0.26,0.3,1.37,0.43,2.1,2.36,2
pierceson coody,0,0,0,0,0,0,3
pierceson coody,0,0,0,0,0,0,4
justin rose,0.91,-0.94,2.63,-0.79,0.9,1.81,1
justin rose,-4.69,-0.87,0.9,-2.98,-2.95,-7.64,2
justin rose,0,0,0,0,0,0,3
justin rose,0,0,0,0,0,0,4
sam stevens,-0.33,0.94,-4.17,1.37,-1.86,-2.19,1
sam stevens,-0.81,-0.84,-1.05,-0.94,-2.83,-3.64,2
sam stevens,0,0,0,0,0,0,3
sam stevens,0,0,0,0,0,0,4
aldrich potgieter,-4.74,-1.02,-3.39,1.96,-2.45,-7.19,1
aldrich potgieter,-1.82,-0.56,-0.28,-0.98,-1.82,-3.64,2
aldrich potgieter,0,0,0,0,0,0,3
aldrich potgieter,0,0,0,0,0,0,4
j.t. poston,-0.49,-0.97,-1.4,-0.33,-2.7,-3.19,1
j.t. poston,-0.9,-2.88,-4.5,-0.36,-7.74,-8.64,2
j.t. poston,0,0,0,0,0,0,3
j.t. poston,0,0,0,0,0,0,4
justin thomas,-3.97,1.42,-2.76,-1.88,-3.22,-7.19,1
justin thomas,-2.31,2.66,-2.41,-4.58,-4.33,-6.64,2
justin thomas,0,0,0,0,0,0,3
justin thomas,0,0,0,0,0,0,4
rory mcilroy,0.42,0.8,-2.9,1.49,-0.61,-0.19,1
rory mcilroy,1.74,0.11,0.94,1.57,2.62,4.36,2
rory mcilroy,0,0,0,0,0,0,3
rory mcilroy,0,0,0,0,0,0,4
austin smotherman,-1.83,-0.2,-0.55,0.38,-0.37,-2.19,1
austin smotherman,0.09,-1.06,1.63,0.7,1.27,1.36,2
austin smotherman,0,0,0,0,0,0,3
austin smotherman,0,0,0,0,0,0,4
